offset,table,text_en,speaker
STR_DIALOGS_GAMEINTRO_D4_SOLDIER_1,texts_DIALOGS,I thought they were just a legend...,SOLDIER
STR_DIALOGS_GAMEINTRO_D5_BRIGARD_1,texts_DIALOGS,"There must be a mistake, Valkyrie._500_
We are still alive and will rejoin the rest of our army when we get out of here.",BRIGARD
STR_DIALOGS_GAMEINTRO_D5_VALKIRIE_1,texts_DIALOGS,"Get out of here?_500_ Listen to me carefully, mortals._300_ We are gifted with the knowledge of life and death._500_ I can see in the palm of my hand how the lifeline that ties you to this world ended when you became trapped.",VALKIRIE
STR_DIALOGS_GAMEINTRO_D5_VALKIRIE_2,texts_DIALOGS,"It is not only rocks and earth that separate you from the outside._500_ There is something else,_500_ more powerful than any attempt you can make to escape.",VALKIRIE
STR_DIALOGS_GAMEINTRO_D5_BRIGARD_2,texts_DIALOGS,"Maybe you're unaware, but we have a grand sorcerer among our ranks who could...",BRIGARD
STR_DIALOGS_GAMEINTRO_D5_VALKIRIE_3,texts_DIALOGS,"I see you still do not understand your situation._500_
There is no one here with the power you suggest.",VALKIRIE
STR_DIALOGS_GAMEINTRO_D5_VALKIRIE_4,texts_DIALOGS,"My mere presence excludes all possibility of doubt._700_
You must accompany me._700_
Your destiny lies here no longer.",VALKIRIE
STR_DIALOGS_GAMEINTRO_D6_SOLDIER_1,texts_DIALOGS,Is she really a Valkyrie?,SOLDIER
STR_DIALOGS_GAMEINTRO_D7_SOLDIER_1,texts_DIALOGS,It could be a witch!,SOLDIER
STR_DIALOGS_GAMEINTRO_D8_BRIGARD_1,texts_DIALOGS,What will happen if we don't go with you?,BRIGARD
STR_DIALOGS_GAMEINTRO_D8_VALKIRIE_1,texts_DIALOGS,"In that case, I will leave,_300_ you will never see me again and those who decide to stay will fade into dust with the passage of time.",VALKIRIE
STR_DIALOGS_GAMEINTRO_D8_BRIGARD_2,texts_DIALOGS,...,BRIGARD
STR_DIALOGS_GAMEINTRO_D8_BRIGARD_3,texts_DIALOGS,...,BRIGARD
STR_DIALOGS_GAMEINTRO_D8_BRIGARD_4,texts_DIALOGS,"Alright.
Listen to me, everyone! No one expected it to end like this, but we have run out of options.
I'm going in!",BRIGARD
STR_DIALOGS_GAMEINTRO_D8_BRIGARD_5,texts_DIALOGS,"Riva..._700_ I will not be able to keep my promise._700_
May the Gods help <color=LOC>Zarga</color>...",BRIGARD
STR_DIALOGS_GAMEINTRO_D9_SOLDIER_1,texts_DIALOGS,"If our general has entered, I will follow him!",SOLDIER
STR_DIALOGS_GAMEINTRO_D10_SOLDIER_1,texts_DIALOGS,Yes! He has never failed us!,SOLDIER
STR_DIALOGS_GAMEINTRO_D11_SOLDIER_1,texts_DIALOGS,"General Brigard, wait! We stand with you!",SOLDIER
STR_DIALOGS_PLAINS_D1_LIANDRIS_1,texts_DIALOGS,"Welcome, brave warrior._300_ I am <color=CHA>Liandris</color>,_500_ <color=CHA>Matriarch of the Valkyries.</color>",LIANDRIS
STR_DIALOGS_PLAINS_D1_LIANDRIS_2,texts_DIALOGS,"Forget everything you thought you knew._300_ Your battles,_100_ your friends..._500_ You are now in a very different place from whence you came._300_
This world is ruled by a <color=CHA>worldly God, a Guardian</color> who awaits your arrival and that of your allies.",LIANDRIS
STR_DIALOGS_PLAINS_D1_LIANDRIS_5,texts_DIALOGS,"Your mission will be to find him,_100_ but it will not be easy.
If you succeed, you will pass into the next plane_100_ where you will be named a champion in the great battle of the Gods,_300_ <color=IMP>Ragnarok</color>,_100_ and be granted unimaginable powers.",LIANDRIS
STR_DIALOGS_PLAINS_D1_LIANDRIS_6,texts_DIALOGS,"Tell me, soldier,_300_ are you ready to embrace glory beyond your life and this world?
Find the <color=CHA>Guardian</color> and, with him, your place.",LIANDRIS
STR_DIALOGS_CAVE_4_D1_SOLDIER_1,texts_DIALOGS,Hahaah! They've just saved us from being buried alive in one cave and we've ended up in another.,SOLDIER
STR_DIALOGS_CAVE_4_D2_SOLDIER_1,texts_DIALOGS,I think I'll rest for a while.,SOLDIER
STR_DIALOGS_CAVE_4_D3_SOLDIER_1,texts_DIALOGS,Am I the only one who thinks this is crazy? A few hours ago we were preparing for battle in... our... world?,SOLDIER
STR_DIALOGS_VILLAGE_1_D1_EDIL_1,texts_DIALOGS,???,EDIL
STR_DIALOGS_VILLAGE_1_D1_MERCHANT_PIG_2,texts_DIALOGS,???,
STR_DIALOGS_CAVE_21_D1_DARKWARRIOR_1,texts_DIALOGS,"When I kill, it's all over..._500_ just energy flowing directly into me._300_ But you, little men, you are amusing.",DARKWARRIOR
STR_DIALOGS_CAVE_21_D2_DARKWARRIOR_1,texts_DIALOGS,"You leave behind a shell of what you were and fall to the ground._500_
It brings back memories...",DARKWARRIOR
STR_DIALOGS_CAVE_21_D2_DARKWARRIOR_2,texts_DIALOGS,And I like it.,DARKWARRIOR
STR_DIALOGS_CAVE_21_D3_DARKWARRIOR_1,texts_DIALOGS,Isn't it incredible..._300_ what we can do in this place...?,DARKWARRIOR
STR_DIALOGS_CAVE_00_D1_TREMBLINGSOLDIER_1,texts_DIALOGS,You may wonder what I'm doing just standing here...,TREMBLINGSOLDIER
STR_DIALOGS_CAVE_00_D1_TREMBLINGSOLDIER_2,texts_DIALOGS,It's not because I saw several horrid spiders drag our comrades into the darkness of this cave.,TREMBLINGSOLDIER
STR_DIALOGS_CAVE_00_D1_TREMBLINGSOLDIER_3,texts_DIALOGS,"I'm simply recovering my strength to go and save them. If you find them, please tell them that I'm looking for them too.",TREMBLINGSOLDIER
STR_DIALOGS_CAVE_21_D1_SINKA_1,texts_DIALOGS,Over here!,SINKA
STR_DIALOGS_CAVE_21_D2_SINKA_1,texts_DIALOGS,It was a good fight.,SINKA
STR_DIALOGS_CAVE_21_D2_SINKA_2,texts_DIALOGS,You did what those poor guys couldn't.,SINKA
STR_DIALOGS_CAVE_21_D3_SINKA_1,texts_DIALOGS,What a gruesome sight...,SINKA
STR_DIALOGS_CAVE_21_D4_SINKA_1,texts_DIALOGS,"But, to be honest, I didn't come after you just so I could praise you.",SINKA
STR_DIALOGS_CAVE_21_D4_SINKA_2,texts_DIALOGS,I noticed that you're looking for some gems that seem to fit in the entrance door.,SINKA
STR_DIALOGS_CAVE_21_D4_SINKA_3,texts_DIALOGS,Here.,SINKA
STR_DIALOGS_CAVE_21_D5_SINKA_1,texts_DIALOGS,"I found it before you showed up._300_ My game is stealing treasure, not protecting it. I think it'd be better off in your hands.",SINKA
STR_DIALOGS_CAVE_21_D5_SINKA_2,texts_DIALOGS,We should find the rest to see if that great door can lead us out of here.,SINKA
STR_DIALOGS_CAVE_21_D5_SINKA_3,texts_DIALOGS,I'm off._300_ Be careful.,SINKA
STR_DIALOGS_CAVE_7_D1_GRUPERMAKEREL_1,texts_DIALOGS,Aaah!!!,GRUPERMAKEREL
STR_DIALOGS_CAVE_7_D2_GRUPER_1,texts_DIALOGS,You scared us!,GRUPER
STR_DIALOGS_CAVE_7_D2_MAKEREL_2,texts_DIALOGS,You shouldn't scare us at a time like this!,MAKEREL
STR_DIALOGS_CAVE_7_D3_GRUPER_1,texts_DIALOGS,The rest of us?_500_ You'll see...,GRUPER
STR_DIALOGS_CAVE_7_D3_MAKEREL_2,texts_DIALOGS,"Everything was going fine until a group of nasty spiders came hurtling towards us out of nowhere, dragging the others into the darkness of the cave.",MAKEREL
STR_DIALOGS_CAVE_7_D3_MAKEREL_3,texts_DIALOGS,"I was going to help, but realised that my shoelaces were untied._300_ I dunno what this lazybones was doing, though.",MAKEREL
STR_DIALOGS_CAVE_7_D4_GRUPER_1,texts_DIALOGS,I told you!_300_ I was watching over the provisions!_300_ You saw how hungry those bugs looked.,GRUPER
STR_DIALOGS_CAVE_7_D5_MAKEREL_1,texts_DIALOGS,"Hungry for us, genius!",MAKEREL
STR_DIALOGS_CAVE_7_D6_GRUPER_1,texts_DIALOGS,"Oh, really?_300_ And since when have our boots had laces?",GRUPER
STR_DIALOGS_CAVE_7_D7_MAKEREL_1,texts_DIALOGS,Never mind the details._300_ The important thing now is to come up with a rescue plan.,MAKEREL
STR_DIALOGS_CAVE_7_D8_GRUPER_1,texts_DIALOGS,"Wait, do you think he...?",GRUPER
STR_DIALOGS_CAVE_7_D9_MAKEREL_1,texts_DIALOGS,"Yes! Will you help us?_100_ Perfect! We're going to check out the main room, just in case.",MAKEREL
STR_DIALOGS_CAVE_7_D9_GRUPER_2,texts_DIALOGS,"Th-_100_ Thank you._300_ Please, find them.",GRUPER
STR_DIALOGS_CAVE_D1_TRAPPEDSOLDIER_1,texts_DIALOGS,I thought I was going to die in there._300_ I don't know how to thank you._300_ I'm getting out of here as soon as I can catch my breath.,TRAPPEDSOLDIER
STR_DIALOGS_CAVE_D1_TRAPPEDSOLDIER_2,texts_DIALOGS,"I was just about to break these webs, but thank you anyway._300_ I hope the others can be saved too.",TRAPPEDSOLDIER
STR_DIALOGS_CAVE_D1_TRAPPEDSOLDIER_3,texts_DIALOGS,"Thank you._300_ We expected to find spiders in this cave,_100_ but not this size!_300_ <color=CHA>Makerel</color> and <color=CHA>Gruper</color> must be desperate if they were caught too.",TRAPPEDSOLDIER
STR_DIALOGS_CAVE_D1_TRAPPEDSOLDIER_4,texts_DIALOGS,You?_300_ Thank the Gods!_100_ I thought that spider was coming back for me.,TRAPPEDSOLDIER
STR_DIALOGS_CAVE_D1_TRAPPEDSOLDIER_5,texts_DIALOGS,Thank you for saving me._300_ We weren't prepared for this. I don't even know how you managed to survive this far._100_ We better get out of this cave as soon as possible.,TRAPPEDSOLDIER
STR_DIALOGS_CAVE_4_D1_SINKA_1,texts_DIALOGS,Tsk..._300_ He caught me off guard._300_ I don't understand what happened to him. He seemed out of it.,SINKA
STR_DIALOGS_CAVE_4_D1_MAKEREL_2,texts_DIALOGS,"He just started attacking us out of nowhere!_500_
He went crazy!",MAKEREL
STR_DIALOGS_CAVE_4_D1_GRUPER_3,texts_DIALOGS,That was close._300_ Thank goodness you were there.,GRUPER
STR_DIALOGS_CAVE_4_D1_SINKA_4,texts_DIALOGS,"I'm fine, it's just a scratch._100_ Don't waste time here._100_ You managed to open the door, right?_100_ Well, get a move on then!",SINKA
STR_DIALOGS_CAVE_4_D1_SINKA_5,texts_DIALOGS,"Listen... I hope you're not brooding on what you did._300_ If you hadn't stopped it, it would have killed those two.",SINKA
STR_DIALOGS_CAVE_4_D1_SINKA_6,texts_DIALOGS,We'll catch up with you later...,SINKA
STR_DIALOGS_WC_SINKA_INTRO_1_1,texts_DIALOGS,"From your expression, I'd hazard a guess that you've already found all the gems, but I would wipe that smile off my face if I were you.",
STR_DIALOGS_WC_SINKA_INTRO_1_2,texts_DIALOGS,"Look closely. Doesn't that door make your hairs stand on end?_300_ You seem so carefree about this, it makes me nervous.",
STR_DIALOGS_WC_SINKA_INTRO_2_1,texts_DIALOGS,Stop being a pain around here. I can take care of this. Go!,
STR_DIALOGS_FOREST_1_D1_BRIGARD_1,texts_DIALOGS,"Get back, soldier!_500_ It's too dangerous. I will not let anyone else die today.",BRIGARD
STR_DIALOGS_FOREST_1_D1_BRIGARD_2,texts_DIALOGS,"I'll handle it. Go, please!",BRIGARD
STR_DIALOGS_FOREST_1_D1_BRIGARD_3,texts_DIALOGS,"You won't change your mind then?_500_ Well..._100_ As you wish, it would be an honour to die fighting alongside you.",BRIGARD
STR_DIALOGS_FOREST_1_D2_BRIGARD_0,texts_DIALOGS,"We didn't expect a clearing like this to be so treacherous._100_ That beast came bursting out, blocking our way and I couldn't do anything for them._500_
They're..._300_ soldiers...
They're not trained to fight these monsters.",BRIGARD
STR_DIALOGS_FOREST_1_D2_BRIGARD_1,texts_DIALOGS,"Soldier,_300_ I don't know these lands,_300_ but I'm certain that you've just made history in them.",BRIGARD
STR_DIALOGS_FOREST_1_D2_BRIGARD_2,texts_DIALOGS,"I often think my job is to give you hope but, in reality, you are the ones who give it to me._500_ Thank you for the reminder.",BRIGARD
STR_DIALOGS_FOREST_1_D2_BRIGARD_3,texts_DIALOGS,"I don't know about you, but I'll never accept this fate. I swear that we will reach the very limits of this world if that's what it takes to get out of this place._500_ I see it clearly now.",BRIGARD
STR_DIALOGS_FOREST_1_D2_BRIGARD_4,texts_DIALOGS,It seems we are nearing the citadel._100_ We should rest there. Then I will make sure they are given a proper burial.,BRIGARD
STR_DIALOGS_FOREST_1_D2_BRIGARD_5,texts_DIALOGS,"I will see you later._500_ I don't want to leave their bodies out in the open for too long, at the mercy of these forest beasts.",BRIGARD
STR_DIALOGS_PLAINS2_11_D1_SKRIBLES_1,texts_DIALOGS,I can't quite make out this path..._300_ This other one leads to...,SKRIBLES
STR_DIALOGS_PLAINS2_11_D1_SKRIBLES_2,texts_DIALOGS,"Yes?_100_ How can I hel...? Aha,_100_ I knew you would return, yes._100_ You lot always return after putting me aside, although I could have sworn you went in the other direction.",SKRIBLES
STR_DIALOGS_PLAINS2_11_D1_SKRIBLES_3,texts_DIALOGS,"Anyway, the important thing is that you have reconsidered and returned for my <color=OBJ>maps</color>._100_ This old dog can still be useful, yes.",SKRIBLES
STR_DIALOGS_PLAINS2_11_D1_SKRIBLES_4,texts_DIALOGS,"As I've already told you, I'd love to hand them out for free, but if I want to keep helping stray travellers like you, I can't afford it.",SKRIBLES
STR_DIALOGS_PLAINS2_11_D2_SKRIBLES_1,texts_DIALOGS,"I've signed it especially for you, see?_300_ Here it is:_100_ ""Skribles"".",SKRIBLES
STR_DIALOGS_PLAINS2_11_D2_SKRIBLES_2,texts_DIALOGS,"This should keep you from getting lost,_100_ but you should know that my memory isn't what it once was,_100_ so you might come across routes of your own, yes?_300_ Onwards, tin man.",SKRIBLES
STR_DIALOGS_PLAINS2_11_D2_SKRIBLES_1_NEGATIVE,texts_DIALOGS,"I thought you were going to take it this time. _300_ Don't worry, yes?_300_ I'll wait for someone who appreciates my work.",
STR_DIALOGS_PLAINS2_11_D3_SKRIBLES_1,texts_DIALOGS,"Aha..._300_ Back again?_100_ It doesn't bother me that you interrupt my work, no._300_ It's just that you should be more decisive in life, yes?_300_ I suppose you're here for the map.",SKRIBLES
STR_DIALOGS_PLAINS2_11_D4_SKRIBLES_1,texts_DIALOGS,"It's not easy making these maps._100_ Every time I travel the plains, I find new paths. Keep that in mind, yes?",SKRIBLES
STR_DIALOGS_PLAINS2_11_D5_SKRIBLES_1,texts_DIALOGS,Here's a hill..._100_ and this is..._300_ a tree?,SKRIBLES
STR_DIALOGS_PLAINS2_11_D6_SKRIBLES_1,texts_DIALOGS,"If I don't mark this river on the map, will people fall in?_300_ I would definitely fall in...",SKRIBLES
STR_DIALOGS1_5_D1_ADAMONT_1,texts_DIALOGS,"Alright there, lad? Aren't you a bit far from the citadel?_100_ We're in charge of covering this area._100_ We've been tasked with exploring the western lands._100_ From the looks of it, we could be close to the person we're looking for.",ADAMONT
STR_DIALOGS1_5_D1_ADAMONT_2,texts_DIALOGS,"You know, that wizard..._300_ king..._300_ or whatever he is.",ADAMONT
STR_DIALOGS1_5_D1_ADAMONT_3,texts_DIALOGS,You say Brigard sent you?,ADAMONT
STR_DIALOGS1_5_D1_ADAMONT_4,texts_DIALOGS,...,ADAMONT
STR_DIALOGS1_5_D1_ADAMONT_5,texts_DIALOGS,"AAH! WE'VE BEEN LOITERING HERE FAR TOO LONG!_500_
ATTENTION, SOLIDERS! BRIGARD IS COUNTING ON US!",ADAMONT
STR_DIALOGS1_5_D1_ADAMONT_6,texts_DIALOGS,Last one there goes without dinner tonight!,ADAMONT
STR_DIALOGS1_5_D0_IRONCLAD_1,texts_DIALOGS,"But, Captain Adamont..._100_ The sand there is far too soft and our armour's very heavy.",IRONCLAD
STR_DIALOGS1_5_D0_IRONCLAD_2,texts_DIALOGS,"Sorry, Captain, I spoke without thinking.",IRONCLAD
STR_DIALOGS1_5_D0_ADAMONT_2,texts_DIALOGS,You lot are starting to look softer than that sand.,ADAMONT
STR_DIALOGS1_5_D0_ADAMONT_3,texts_DIALOGS,That's exactly why I asked them to send us here._100_ These are the sort of challenges that make us stronger!,ADAMONT
STR_DIALOGS_PYRAMID_D1_ANUBIS_1,texts_DIALOGS,How unusual..._500_ The desert wind is bringing a lot of dust my way today.,ANUBIS
STR_DIALOGS_PYRAMID_D1_ANUBIS_2,texts_DIALOGS,"Welcome, slaves._300_ Times are changing. I don't even have to bother coming down there and facing you.",ANUBIS
STR_DIALOGS_PYRAMID_D1_ANUBIS_3,texts_DIALOGS,Go to your “chambers” until I decide what to do with you.,ANUBIS
STR_DIALOGS_PYRAMID_D1_ANUBIS_4,texts_DIALOGS,Now.,ANUBIS
STR_DIALOGS_PYRAMID_D2_ADAMONT_1,texts_DIALOGS,Lad?,ADAMONT
STR_DIALOGS_PYRAMID_D2_ADAMONT_2,texts_DIALOGS,You've been asleep for a good while now._300_ I was starting to think you were dead.,ADAMONT
STR_DIALOGS_PYRAMID_D2_ADAMONT_3,texts_DIALOGS,"I'm ashamed to admit it but, that scoundrel..._300_ I didn't even have a chance to stop him.",ADAMONT
STR_DIALOGS_PYRAMID_D3_ADAMONT_1,texts_DIALOGS,ARGHH!_300_ WHEN I GET OUT OF HERE I'M GONNA LINE MY SHIELD WITH HIS SKIN!,ADAMONT
STR_DIALOGS_PYRAMID_D3_ADAMONT_2,texts_DIALOGS,MY MEN BETTER BE IN ONE PIECE!,ADAMONT
STR_DIALOGS_PYRAMID_D4_ADAMONT_1,texts_DIALOGS,Breathe...,ADAMONT
STR_DIALOGS_PYRAMID_D4_ADAMONT_2,texts_DIALOGS,I have to find a way to get outta here and find them...,ADAMONT
STR_DIALOGS_PYRAMID_D5_ADAMONT_1,texts_DIALOGS,WELL DONE!,ADAMONT
STR_DIALOGS_PYRAMID_D5_ADAMONT_2,texts_DIALOGS,"You're quite the trustworthy soldier, aren't you?",ADAMONT
STR_DIALOGS_PYRAMID_D5_ADAMONT_3,texts_DIALOGS,"Listen, everything points towards the guy who's trapped us here being nothing more than an idiot, but perhaps he's testing us._300_ We need to get him to face us in the flesh and find out. Besides, someone like him must have information.",ADAMONT
STR_DIALOGS_PYRAMID_D5_ADAMONT_4,texts_DIALOGS,But I can't leave my men behind. I think splitting up would be the sort of thing General Brigard would suggest in a situation like this.,ADAMONT
STR_DIALOGS_PYRAMID_D5_ADAMONT_5,texts_DIALOGS,"If you find them, let me know._100_ Be very careful, looks like that poodle is watching our every move.",ADAMONT
STR_DIALOGS_PYRAMID_D6_ADAMONT_1,texts_DIALOGS,A trap?,ADAMONT
STR_DIALOGS_PYRAMID_D6_ADAMONT_2,texts_DIALOGS,"The walls! There has to be a way to stop them, or we'll end up as compacted junk!",ADAMONT
STR_DIALOGS_PYRAMID_D7_ADAMONT_1,texts_DIALOGS,"Quick, climb up!_100_ Save yourself!",ADAMONT
STR_DIALOGS_PYRAMID_D8_ADAMONT_1,texts_DIALOGS,STR_DIALOGS_PYRAMID_D8_ADAMONT_1,ADAMONT
STR_DIALOGS_PYRAMID_D9_ADAMONT_1,texts_DIALOGS,No..._500_ Forget it. Make this count for something._500_ But do me a favour..._100_ Save my men and tell General Brigard that I'm sorry...,ADAMONT
STR_DIALOGS_PYRAMID_D10_ADAMONT_1,texts_DIALOGS,"I'm offended that you're so surprised, lad.",ADAMONT
STR_DIALOGS_PYRAMID_D10_ADAMONT_2,texts_DIALOGS,Did you think a simple stone block would prove stronger than me?,ADAMONT
STR_DIALOGS_PYRAMID_D11_ADAMONT_1,texts_DIALOGS,We'll talk later. Now...,ADAMONT
STR_DIALOGS_PYRAMID_D11_ADAMONT_2,texts_DIALOGS,FOCUS ON RIPPING THAT BUG APART!,ADAMONT
STR_DIALOGS_PYRAMID_D12_ADAMONT_1,texts_DIALOGS,"I'm impressed, you're more resourceful than you look._100_ I'd have gone for the 'try to hack off its head until my axe broke' approach.",ADAMONT
STR_DIALOGS_PYRAMID_D12_ADAMONT_2,texts_DIALOGS,"The dangers this place holds are no match for us, eh?",ADAMONT
STR_DIALOGS_PYRAMID_D12_ADAMONT_3,texts_DIALOGS,"I couldn't be sure but, when the wall was pressing up against me, I noticed how the floor started to crack._100_ I was able to stomp my way through and fall to the floor below.",ADAMONT
STR_DIALOGS_PYRAMID_D12_ADAMONT_4,texts_DIALOGS,We should carry on with our search. We'll find that Guardian sooner or later.,ADAMONT
STR_DIALOGS_PYRAMID_D13_ANUBIS_1,texts_DIALOGS,"Hah hah hah..._500_ So, that's what's brought you here?",ANUBIS
STR_DIALOGS_PYRAMID_D13_ADAMONT_2,texts_DIALOGS,What's so funny?,ADAMONT
STR_DIALOGS_PYRAMID_D13_ANUBIS_3,texts_DIALOGS,"The tales of this world reach as far and wide as the sun's rays._100_ Of course, choosing to believe in them is another matter entirely.",ANUBIS
STR_DIALOGS_PYRAMID_D13_ADAMONT_4,texts_DIALOGS,"It'd be easier for us to stay here and enjoy your hospitality, right?_100_ When we find you, we'll be sure to thank you in person.",ADAMONT
STR_DIALOGS_PYRAMID_D13_ANUBIS_5,texts_DIALOGS,I am going to great efforts to avoid coming down there and finishing you off with a click of my fingers.,ANUBIS
STR_DIALOGS_PYRAMID_D13_ANUBIS_6,texts_DIALOGS,"You have trespassed into my domain, escaped my prison and killed my pet.",ANUBIS
STR_DIALOGS_PYRAMID_D13_ANUBIS_7,texts_DIALOGS,"You are both beyond forgiveness. The question is... _300_ Now that's you've chosen this path, how will you die here?",ANUBIS
STR_DIALOGS_PYRAMID_D14_ADAMONT_1,texts_DIALOGS,"Don't let his drivel get to you. He just wants to make us doubt ourselves._300_ If he had that sort of power, he would have already used it.",ADAMONT
STR_DIALOGS_PYRAMID_D14_ADAMONT_2,texts_DIALOGS,"YOU HEAR ME, YA BIG POODLE?! IT'S NOT GONNA WORK!",ADAMONT
STR_DIALOGS_PYRAMID_D14_ADAMONT_3,texts_DIALOGS,I don't know where he's hiding but it doesn't look like he can get to us.,ADAMONT
STR_DIALOGS_PYRAMID_D14_ADAMONT_4,texts_DIALOGS,Beware of his tricks.,ADAMONT
STR_DIALOGS_PYRAMID_D14_ADAMONT_4_CONTINUA,texts_DIALOGS,"So, back to the original plan, then?_100_ Divide and conquer._100_ I'll save my men, whatever the cost._300_ We'll get out of here together, you'll see.",
STR_DIALOGS_PYRAMID_D15_ANUBIS_1,texts_DIALOGS,Wretched fools!_500_ Do you have any idea what it'll cost me to get hold of a collection of pets like that again?,ANUBIS
STR_DIALOGS_PYRAMID_D15_ANUBIS_2,texts_DIALOGS,"You won't find what you seek here. Go, turn back now, but do not mistake this act for weakness._300_ A ruler must show fairness and my power is exceeded only by my magnanimity.",ANUBIS
STR_DIALOGS_PYRAMID_D15_ANUBIS_3,texts_DIALOGS,"Leave here at once. If you ever return, I guarantee you won't receive the same compassion.",ANUBIS
STR_DIALOGS_PYRAMID_D15_ANUBIS_4,texts_DIALOGS,NOW!,ANUBIS
STR_DIALOGS_PYRAMID_D16_ADAMONT_1,texts_DIALOGS,"You're back!_500_ You're just full of surprises, aren't you, lad?",ADAMONT
STR_DIALOGS_PYRAMID_D16_ADAMONT_2,texts_DIALOGS,"So, that's it? _300_ He just kicks us out?_500_ He was nothing more than a big phoney?",ADAMONT
STR_DIALOGS_PYRAMID_D16_ADAMONT_3,texts_DIALOGS,ARGGGHHH!,ADAMONT
STR_DIALOGS_PYRAMID_D16_ADAMONT_4,texts_DIALOGS,Breathe...,ADAMONT
STR_DIALOGS_PYRAMID_D16_ADAMONT_5,texts_DIALOGS,"I'd have preferred to make him pay._100_ We'll just have to make do with freedom. Let's get out of here, we have a report to deliver.",ADAMONT
STR_DIALOGS_PYRAMID_D16_ADAMONT_6,texts_DIALOGS,I think I'll add that they should put you in my regiment. What do you say? Bahahah!,ADAMONT
STR_DIALOGS_PYRAMID_D17_ESFINGE_1,texts_DIALOGS,"Congratulations on making it this far. If you wish to live, you will have to correctly answer this question: _300_ What will you lose before leaving this room?",ESFINGE
STR_DIALOGS_PYRAMID_A1_ESFINGE_1,texts_DIALOGS,Your head,
STR_DIALOGS_PYRAMID_A1_ESFINGE_2,texts_DIALOGS,Your arms,
STR_DIALOGS_PYRAMID_A1_ESFINGE_3,texts_DIALOGS,Your legs,
STR_DIALOGS_PYRAMID_D18_ESFINGE_1,texts_DIALOGS,Incorrect._500_ You will lose everything.,ESFINGE
STR_DIALOGS_PYRAMID_TRAPPEDIRONCLAD_1_1,texts_DIALOGS,"You're that soldier from that cave, right? Thank the Gods you arrived! Thank you, I'm heading back to the others.",
STR_DIALOGS_PYRAMID_TRAPPEDIRONCLAD_2_1,texts_DIALOGS,"Thank you so much, you show great bravery going it alone in here. I'm off, I need to find the Captain.",
STR_DIALOGS_PYRAMID_TRAPPEDIRONCLAD_3_1,texts_DIALOGS,I hate the desert... I knew we shouldn't have come here. We're lucky you found us.,
STR_DIALOGS_PYRAMID_TRAPPEDIRONCLAD_4_1,texts_DIALOGS,I couldn't bear being trapped inside any longer. I'll follow the instructions and head to the meeting point.,
