scene,offset,speaker,risk,revisar,source_en,target_pt,correcao,nota
ch_11_01,0x7da5,Man,low,,She's... waiting... for...,Ela está esperando... por...,,
ch_11_01,0x7dc0,Man,low,,Ah...hah...,Ah...há...,,
ch_11_01,0x7dcc,Man,low,,HA-CHOO!,ATCHIM!,,
ch_11_01,0x7dd5,Man,low,,Urgh... S-So cold...,Argh... Q-Que frio...,,
ch_11_01,0x7dee,Kuon,low,,...Huh?,...Hein?,,
ch_11_01,0x7df6,Man,low,,I blink at the unfamiliar sight.,Pisco diante da cena desconhecida.,,
ch_11_01,0x7e17,Man,low,,Wh-Where... am I?,O-Onde... estou?,,
ch_11_01,0x7e29,Man,low,,"I glance around. Trees, trees, and more trees.\n","Olho ao redor. Árvores, árvores e mais árvores.\n",,
ch_11_01,0x7e5a,Man,low,,"It's a forest, and a pretty dense one at that.","É uma floresta, e bem densa ainda por cima.",,
ch_11_01,0x7e89,Man,low,,It feels like the endless trees are swallowing\n,Parece que as árvores sem fim engolem\n,,
ch_11_01,0x7eba,Man,low,,everything else up... even sound.,todo o resto... até o som.,,
ch_11_01,0x7edc,Man,low,,Where... exactly am I...?,Onde... exatamente eu estou...?,,
ch_11_01,0x7ef6,Man,low,,How did I end up in a place like this...?,Como fui parar num lugar assim...?,,
ch_11_01,0x7f20,Man,low,,Why...? Why...,Por quê...? Por quê...,,
ch_11_01,0x7f2f,Man,low,,I frantically search my memories.,Vasculho minhas memórias freneticamente.,,
ch_11_01,0x7f51,Man,low,,Ngh... It's no use. Can't remember. What was\n,Ngh... Não adianta. Não lembro. O que eu\n,,
ch_11_01,0x7f80,Man,low,,I doing up until now...?,estava fazendo até agora...?,,
ch_11_01,0x7f99,Man,low,,Gah!,Ai!,,
ch_11_01,0x7f9e,Man,low,,A sudden pain in my foot interrupts my thoughts.\n,Uma dor súbita no pé interrompe meus pensamentos.\n,,
ch_11_01,0x7fd1,Man,low,,I look down and realize... I'm barefoot.,Olho para baixo e percebo... estou descalço.,,
ch_11_01,0x7ffa,Man,low,,Why...?,Por quê...?,,
ch_11_01,0x8002,Man,low,,Ha-choo!,ATCHIM!,,
ch_11_01,0x800b,Man,low,,"Gah, it's freezing...","Ai, que frio de congelar...",,
ch_11_01,0x8021,Man,low,,"Why am I... No, hold on.","Por que eu... Não, espera.",,
ch_11_01,0x803a,Man,low,,Why am I dressed like this...?,Por que estou vestido assim...?,,
ch_11_01,0x8059,Man,low,,"Out in this cold, in just a flimsy gown...?","Nesse frio, só com uma camisola fininha...?",,
ch_11_01,0x8085,Man,low,,Not even any underpants...,Sem nem roupa de baixo...,,
ch_11_01,0x80a0,Man,low,,"H-Hurgh... ""Chilly""... d-doesn't even begin\n","A-Argh... ""Friozinho""... nem chega\n",,
ch_11_01,0x80ce,Man,low,,to describe it.,perto de descrever.,,
ch_11_01,0x80de,Man,low,,"I look around, desperate for some way to get out\n","Olho em volta, desesperado por um jeito de fugir\n",,
ch_11_01,0x8111,Man,low,,of this cold.,deste frio.,,
ch_11_01,0x811f,Man,low,,Not a single house or a signpost anywhere...  ,"Nenhuma casa, nenhuma placa em lugar nenhum...  ",,
ch_11_01,0x814e,Man,low,,Gah... Urgh...,Gah... Argh...,,
ch_11_01,0x815d,Man,low,,"My head is splitting, too... Probably related\n",Minha cabeça também está latejando... Deve ser\n,,
ch_11_01,0x818d,Man,low,amostra,to the empty stomach.,do estômago vazio.,,
ch_11_01,0x81a3,Man,low,,"Ah, right. This is all just a dream...","Ah, claro. Isso é tudo só um sonho...",,
ch_11_01,0x81ca,Man,low,,"...Dammit, it's no use. I can't fool myself here.","...Droga, não adianta. Não dá pra me enganar aqui.",,
ch_11_01,0x81fc,Man,low,,"Somehow, I pull myself together and get back\n","De algum jeito, me recomponho e volto\n",,
ch_11_01,0x822b,Man,low,,to my feet.,a ficar de pé.,,
ch_11_01,0x8237,Man,low,,"No matter how I look at it, this is no dream.","Por mais que eu tente, isto não é sonho nenhum.",,
ch_11_01,0x8265,Man,low,,...Ha-choo! Bwa-CHOO!,...Atchim! Aaa-TCHIM!,,
ch_11_01,0x827b,Man,low,,Hurgh... Stuck out in this cold with nothing\n,Argh... Preso neste frio sem nada\n,,
ch_11_01,0x82aa,Man,low,,"but a robe, and totally naked underneath it.","além de um robe, e pelado por baixo dele.",,
ch_11_01,0x82d7,Man,low,,"I'm still holding up, but once the sun goes down,\n","Ainda aguento, mas quando o sol se puser,\n",,
ch_11_01,0x830b,Man,low,,"I'll catch cold for sure. Worst-case scenario,\n","vou pegar um resfriado na certa. Na pior das hipóteses,\n",,
ch_11_01,0x833c,Man,low,,I'll freeze to death.,morro congelado.,,
ch_11_01,0x8352,Man,low,,"If this isn't a dream, then that tent where I was\n","Se isto não é sonho, então aquela tenda onde eu\n",,
ch_11_01,0x8386,Man,low,,resting has to be out here somewhere.,estava deve estar em algum lugar por aqui.,,
ch_11_01,0x83ac,Man,low,,"All things considered, that's probably my best\n","Pensando bem, essa é provavelmente minha melhor\n",,
ch_11_01,0x83dd,Man,low,,shot here...,aposta aqui...,,
ch_11_01,0x83ea,Man,low,,"I want to go back the way I came, but I've got\n","Quero voltar pelo caminho que vim, mas não faço\n",,
ch_11_01,0x841b,Man,low,,no idea which way that even is.,ideia de qual é.,,
ch_11_01,0x843b,Man,low,,What do I do? Should I just... follow some road\n,O que eu faço? Sigo alguma trilha\n,,
ch_11_01,0x846d,Man,low,,and hope for the best? Or wait here for help?,e torço pelo melhor? Ou espero ajuda aqui?,,
ch_11_01,0x849b,Man,low,,"If you get lost, rule one is to stay still and\n","Quando se perde, a regra um é ficar parado e\n",,
ch_11_01,0x84cc,Man,low,,wait for help. But the thing is...,esperar ajuda. Mas o problema é...,,
ch_11_01,0x84ef,Man,low,,I don't even know if anyone's coming for me... ,Não sei nem se alguém vem me procurar... ,,
ch_11_01,0x851f,Man,low,,Can't really expect a search party when I don't\n,Não dá pra esperar um grupo de busca quando nem\n,,
ch_11_01,0x8551,Man,low,,even know what the hell I'm doing here myself.,eu sei o que diabos faço aqui.,,
ch_11_01,0x8580,Man,low,,I guess I'll have to risk it if I want to\n,Acho que vou ter que arriscar se quiser\n,,
ch_11_01,0x85ac,Man,low,,get out of here.,sair daqui.,,
ch_11_01,0x85bd,Man,low,,I should get moving before it gets any darker.,Melhor me mexer antes que escureça mais.,,
ch_11_01,0x85ec,Haku,low,,Huh?,Hein?,,
ch_11_01,0x85f1,Man,low,,I feel a shiver run down my spine... but this\n,Sinto um arrepio na espinha... mas desta\n,,
ch_11_01,0x8621,Man,low,,time it's not the cold.,vez não é do frio.,,
ch_11_01,0x8639,Man,low,,What...? Something felt... weird...,O quê...? Senti algo... estranho...,,
ch_11_01,0x865d,Man,low,,...Whoa! Wh-What the--,...Uou! Q-Que diabos--,,
ch_11_01,0x8674,Man,low,,"Oh... just a bird... Phew. Geez, almost gave me\n",Ah... é só um pássaro... Ufa. Quase me deu\n,,
ch_11_01,0x86a6,Man,low,,a heart attack.,um ataque do coração.,,
ch_11_01,0x86b6,Man,low,,Nothing serious. What a relief...,Nada de grave. Que alívio...,,
ch_11_01,0x86d8,Man,low,,"Overhead, the birds are still screeching.\n","Lá em cima, os pássaros ainda grasnam.\n",,
ch_11_01,0x8704,Man,low,,They seem pretty worked up about something...,Parecem bem agitados com alguma coisa...,,
ch_11_01,0x8732,Man,low,,...These birds just won't shut up. What's got\n,...Esses pássaros não calam a boca. O que os\n,,
ch_11_01,0x8762,Man,low,,them so freaked out...?,deixou tão assustados...?,,
ch_11_01,0x877a,Man,low,,*Shiver*,*Arrepio*,,
ch_11_01,0x8783,Man,low,,...There it is again.,...Lá está de novo.,,
ch_11_01,0x8799,Man,low,,It feels like... something's watching me.,Sinto como se... algo estivesse me observando.,,
ch_11_01,0x87c3,Man,low,,Urgh... I... feel sick...,Argh... Estou... passando mal...,,
ch_11_01,0x87dd,Man,low,,"My vision blurs, and I lose my balance.\n",Minha visão embaça e perco o equilíbrio.\n,,
ch_11_01,0x8807,Man,low,,"I trip on my own feet, and stumble forward. ",Tropeço nos próprios pés e caio pra frente. ,,
ch_11_01,0x8834,Man,low,,And in that instant--,E nesse instante--,,
ch_11_01,0x884a,Man,low,,Whoa--,Uou--,,
ch_11_01,0x8851,Man,low,amostra,*Slash!*,*Zás!*,,
ch_11_01,0x885a,Man,low,,I hear it just above my head.\n,Ouço logo acima da minha cabeça.\n,,
ch_11_01,0x887a,Man,low,,"A jarring, violent sound, like metal on metal.","Um som violento e estridente, como metal contra metal.",,
ch_11_01,0x88a9,Man,low,,Wh... Wh-Wha...,Q... Q-Quê...,,
ch_11_01,0x88b9,Man,low,,"Fallen to one knee, I shift around cautiously\n","Caído de joelhos, me viro com cautela\n",,
ch_11_01,0x88e9,Man,low,,to look back.,para olhar pra trás.,,
ch_11_01,0x88fa,Man,low,,What... is... this...?,O que... é... isto...?,,
ch_11_01,0x8911,Man,low,,"A row of sharp jags and points, like honed\n","Uma fileira de pontas e gumes afiados, como\n",,
ch_11_01,0x893e,Man,low,,"blades, gleams in the cold air.","lâminas, reluz no ar gelado.",,
ch_11_01,0x895e,Man,low,,They're like scissors... or maybe a saw?,São como tesouras... ou talvez um serrote?,,
ch_11_01,0x8987,Man,low,,But saws and scissors can't compare to THAT.\n,Mas serrotes e tesouras não chegam perto DAQUILO.\n,,
ch_11_01,0x89b6,Man,low,,It's bigger than a human arm...,É maior que um braço humano...,,
ch_11_01,0x89d6,Man,low,,What the...,Mas que...,,
ch_11_01,0x89e2,Man,low,,What... is THAT!?,O que... é AQUILO!?,,
ch_11_01,0x89f4,Man,low,,"Whatever it is, it's definitely insectoid.","Seja lá o que for, é definitivamente um inseto.",,
ch_11_01,0x8a1f,Man,low,,But... this thing doesn't look like any bug\n,Mas... essa coisa não parece nenhum inseto\n,,
ch_11_01,0x8a4d,Man,low,,I've ever seen.,que eu já vi.,,
ch_11_01,0x8a5d,Man,low,,"It's at least ten times... no, a hundred\n","É no mínimo dez vezes... não, cem\n",,
ch_11_01,0x8a88,Man,low,,times bigger.,vezes maior.,,
ch_11_01,0x8a96,Man,low,,What is... going on...?,O que está... acontecendo...?,,
ch_11_01,0x8aae,Man,low,,"Revulsion wells up inside me, and my skin crawls.\n","A repulsa cresce dentro de mim, e minha pele se arrepia.\n",,
ch_11_01,0x8ae2,Man,low,amostra,I just want to look away from this thing.,Só quero desviar o olhar dessa coisa.,,
ch_11_01,0x8b0c,Man,low,,What do I do...? What should I do...?,O que eu faço...? O que eu devo fazer...?,,
ch_11_01,0x8b32,Man,low,,Hh... Ah... Aaah--,Hn... Ah... Aaah--,,
ch_11_01,0x8b45,Man,low,,"Without looking away, I jump off the cliffside\n","Sem desviar o olhar, salto do penhasco\n",,
ch_11_01,0x8b76,Man,low,,in front of me.,à minha frente.,,
ch_11_01,0x8b86,Man,low,,I feel that unnatural sharpness cut through\n,Sinto aquele corte sobrenatural rasgar\n,,
ch_11_01,0x8bb4,Man,low,,the air just behind me as I leap.,o ar logo atrás de mim enquanto pulo.,,
ch_11_01,0x8bd6,Man,low,identico-fonte,Aaaaah!,Aaaaah!,,
ch_11_01,0x8bde,Man,low,,I'm... flying!?,Estou... voando!?,,
ch_11_01,0x8bee,Man,low,,"For a moment, I'm soaring through the air.","Por um momento, deslizo pelo ar.",,
ch_11_01,0x8c19,Man,low,,"I feel myself hit the slope, and tumble down\n",Sinto-me bater na encosta e rolar\n,,
ch_11_01,0x8c48,Man,low,,the snowy cliffside.,pela ladeira nevada.,,
ch_11_01,0x8c5d,Man,low,,Guh--,Agh--,,
ch_11_01,0x8c63,Man,low,,My back hits the ground hard. The impact knocks\n,Minhas costas batem com força no chão. O impacto\n,,
ch_11_01,0x8c95,Man,low,,"the wind out of me, and I choke.","me tira o fôlego, e eu engasgo.",,
ch_11_01,0x8cb6,Man,low,,Urgh... Ghh...,Argh... Ghh...,,
ch_11_01,0x8cc5,Man,low,,Ghh!,Agh!,,
ch_11_01,0x8cca,Man,low,,"My body's screaming in agony, but I don't have\n","Meu corpo grita de dor, mas não tenho\n",,
ch_11_01,0x8cfb,Man,low,,time. I stagger to my feet and start running.,tempo. Cambaleio de pé e começo a correr.,,
ch_11_01,0x8d29,Man,low,,"What was that, what was that, what was that...","O que era aquilo, o que era aquilo, o que era aquilo...",,
ch_11_01,0x8d58,Man,low,,WHAT THE HELL WAS THAT!?,QUE DIABOS ERA AQUILO!?,,
ch_11_01,0x8d71,Man,low,,An insect that massive doesn't exist...\n,Um inseto tão imenso não existe...\n,,
ch_11_01,0x8d9b,Man,low,,There's no way it COULD exist!,Não tem como existir!,,
ch_11_01,0x8dba,Man,low,,So this has to be a dream! That was all just\n,Então isto só pode ser um sonho! Aquilo foi tudo\n,,
ch_11_01,0x8de9,Man,low,,some illusion!,uma ilusão!,,
ch_11_01,0x8df8,Man,low,,I just have to turn and look... and I'll see\n,Basta eu me virar e olhar... e vou ver\n,,
ch_11_01,0x8e27,Man,low,,"everyone smiling, waiting for me--","todo mundo sorrindo, esperando por mim--",,
ch_11_01,0x8e4a,Man,low,,And I look back.,E olho pra trás.,,
ch_11_01,0x8e5b,Man,low,,Aaaaaargh! I-I-I-It's gonna...\n,Aaaaargh! V-V-V-Vai...\n,,
ch_11_01,0x8e7c,Man,low,,It's gonna EAT me!!,Vai me DEVORAR!!,,
ch_11_01,0x8e90,Man,low,,"I start zigzagging right and left, serpentine,\n","Começo a ziguezaguear pra direita e esquerda,\n",,
ch_11_01,0x8ec1,Man,low,,trying to keep it guessing.,tentando despistá-lo.,,
ch_11_01,0x8edd,Man,low,,Hh... hh... H-How far do I have to run!?,Hh... hh... Q-Quanto eu ainda tenho que correr!?,,
ch_11_01,0x8f06,Man,low,,I-I can't... keep this up...,E-Eu não... aguento mais...,,
ch_11_01,0x8f23,Man,low,,I keep running straight ahead. \n,Continuo correndo em frente. \n,,
ch_11_01,0x8f45,Kuon,low,,But...,mas...,,
ch_11_01,0x8f4c,Man,low,,Wha--,Quê--,,
ch_11_01,0x8f52,Man,low,,Something gives way under my heel.,Algo cede sob meu calcanhar.,,
ch_11_01,0x8f75,Man,low,,Aaaaaaaaagghh!,Aaaaaaaaagh!,,
ch_11_01,0x8f84,Man,low,,Ghh...,Argh...,,
ch_11_01,0x8f8b,Man,low,,Agh... Did I fall again...? Everything... hurts...,Argh... Caí de novo...? Tudo... dói...,,
ch_11_01,0x8fbe,Man,low,amostra,"I shade my eyes with my hand, peering up at the\n","Protejo os olhos com a mão, espiando a\n",,
ch_11_01,0x8ff0,Man,low,,light shining from above. Looks like a hole...,luz que vem de cima. Parece um buraco...,,
ch_11_01,0x901f,Man,low,,If that's where I fell from... Must've been\n,Se foi de lá que caí... Deve ter sido\n,,
ch_11_01,0x904d,Man,low,,a bush or something hiding it...,um arbusto ou algo escondendo o buraco...,,
ch_11_01,0x906e,Man,low,,"It'll be tough, but if I climb the wall here,\n","Vai ser difícil, mas se eu escalar a parede aqui,\n",,
ch_11_01,0x909e,Man,low,,maybe I can get back above ground...?,talvez consiga voltar pra superfície...?,,
ch_11_01,0x90c4,Man,low,,"But even if I could get back up, that thing's\n","Mas mesmo se eu subir, aquela coisa\n",,
ch_11_01,0x90f4,Man,low,,just going to eat me. So...,vai só me comer. Então...,,
ch_11_01,0x9110,Man,low,,"Strangely enough, the walls are giving off\n","Estranhamente, as paredes emitem\n",,
ch_11_01,0x913d,Man,low,,"a faint glow. It's dim, but it's helping me\n","um brilho fraco. É tênue, mas me ajuda\n",,
ch_11_01,0x916b,Man,low,,see the place.,a enxergar o lugar.,,
ch_11_01,0x917a,Man,low,,It looks like some kind of cavern. There's a\n,Parece algum tipo de caverna. Há um\n,,
ch_11_01,0x91a9,Man,low,,tunnel that seems like it goes on for a while.,túnel que parece seguir por um bom tempo.,,
ch_11_01,0x91d8,Man,low,amostra,"Well, if I can't go up, then I might as well\n","Bem, se não posso subir, é melhor\n",,
ch_11_01,0x9207,Man,low,,go forward...,seguir em frente...,,
ch_11_01,0x9215,Man,low,,"Still, even with this dim glow, I can't really\n","Ainda assim, mesmo com esse brilho fraco, não dá\n",,
ch_11_01,0x9246,Man,low,,tell what it's like further inside.,pra ver bem como é mais pra dentro.,,
ch_11_01,0x926a,Man,low,,Maybe it'd be safer to just wait here quietly\n,Talvez seja mais seguro só esperar aqui quieto\n,,
ch_11_01,0x929a,Man,low,,after all...,afinal...,,
ch_11_01,0x92a7,Man,low,identico-fonte,Ah...!,Ah...!,,
ch_11_01,0x92ae,Man,low,,...That noise... It's getting closer.,...Aquele barulho... Está chegando mais perto.,,
ch_11_01,0x92d4,Man,low,,"If I hang around here, it'll only hunt me down...\n","Se eu ficar por aqui, vai só me caçar...\n",,
ch_11_01,0x9308,Man,low,,I can't stop now.,Não posso parar agora.,,
ch_11_01,0x931a,Man,low,,"With my decision made, I step forth into\n","Decisão tomada, avanço para dentro\n",,
ch_11_01,0x9345,Man,low,,the tunnel.,do túnel.,,
ch_11_01,0x9351,Man,low,,Rrrgh... Why is this happening to me!?,Rrgh... Por que isso está acontecendo comigo!?,,
ch_11_01,0x9378,Man,low,,"Ngh, hah... phew... hah...\n","Ngh, há... ufa... há...\n",,
ch_11_01,0x9395,Man,low,,I don't feel it... chasing after me...,Não sinto ela... vindo atrás de mim...,,
ch_11_01,0x93bc,Man,low,,"I finally let myself sit, exhaustion and relief\n","Finalmente me deixo sentar, exaustão e alívio\n",,
ch_11_01,0x93ee,Man,low,,settling in.,tomando conta.,,
ch_11_01,0x93fb,Man,low,,Hahh... I'm safe now... Th-This... should be\n,Hã... Estou a salvo agora... I-Isto... deve ser\n,,
ch_11_01,0x942a,Man,low,,far... enough... ,longe... o bastante... ,,
ch_11_01,0x943c,Kuon,low,,*Shudder*,*Tremor*,,
ch_11_01,0x9446,Man,low,,"I cringe instinctively. A sudden chill,\n","Me encolho por instinto. Um frio súbito,\n",,
ch_11_01,0x9470,Man,low,,"unpleasantly familiar, runs down my spine.","desagradavelmente familiar, desce pela espinha.",,
ch_11_01,0x949b,Man,low,,"My body freezes. I can't move, confronted\n","Meu corpo congela. Não consigo me mexer, diante\n",,
ch_11_01,0x94c7,Man,low,,with something beyond understanding.,de algo além da compreensão.,,
ch_11_01,0x94ec,Man,low,,Wh... Wh-Wh-Why...,Q... P-P-Por...,,
ch_11_01,0x94ff,Man,low,,Why is it HERE!?,Por que está AQUI!?,,
ch_11_01,0x9510,Man,low,,The colossal insect is right in front of me.,O inseto colossal está bem na minha frente.,,
ch_11_01,0x953d,Man,low,,Did this thing set me up!?,Será que essa coisa me armou!?,,
ch_11_01,0x9558,Man,low,,But the specifics... don't really matter\n,Mas os detalhes... já não importam\n,,
ch_11_01,0x9583,Man,low,,anymore.,mais.,,
ch_11_01,0x958c,Man,low,,Urgh--,Argh--,,
ch_11_01,0x9593,Man,low,amostra,It happens in an instant. My back's to the\n,Acontece num instante. Estou de costas pra\n,,
ch_11_01,0x95c0,Man,low,,"wall, and any escape is blocked by its\n","parede, e qualquer fuga é bloqueada pelo\n",,
ch_11_01,0x95e9,Man,low,,sinuous body.,corpo sinuoso dele.,,
ch_11_01,0x95f7,Man,low,,I... can't escape.,Eu... não tenho como fugir.,,
ch_11_01,0x960a,Man,low,,"It creeps forward warily, as if it's learned\n","Ele rasteja pra frente com cautela, como se\n",,
ch_11_01,0x9639,Man,low,,its lesson from its failed attempts earlier.,tivesse aprendido a lição das tentativas falhas.,,
ch_11_01,0x9666,Man,low,,"It leans in, close enough to pull me in with\n","Ele se inclina, perto o bastante pra me agarrar\n",,
