term,category,target_translation,handling_rule,spoiler_level,aliases,notes,updated_date
Carronade,Item,Carronade,manter_original,none,hex cannon,Arma imperial; nome próprio histórico/de arma — manter. (cap.all),2026-06-21
Wyndia,Local,Wyndia,manter_original,none,,Topônimo; manter. (cap.all),2026-06-21
Abbess,Cultural,Abadessa,traduzir,none,,Título religioso; traduzir 'Abbess'→'Abadessa' no texto. (cap.all),2026-06-21
Princess,Cultural,Princesa,traduzir,none,,Título de Nina ('Princess [04][XX]'). Traduzir. (cap.all),2026-06-21
Lord,Cultural,Lorde,traduzir,none,,Tratamento formal ('Lord Yuna'). Traduzir como 'Lorde'. (cap.all),2026-06-21
Captain,Cultural,Capitão,traduzir,none,,Patente militar ('Captain Rasso'). Traduzir. (cap.all),2026-06-21
Restores,Mecânica,Restaura,traduzir,none,,Descrição de item ('Restores HP'). Traduzir. (cap.all),2026-06-21
Select,UI,Selecionar,traduzir,none,,Menu UI. Traduzir. (cap.all),2026-06-21
Confirm,UI,Confirmar,traduzir,none,,Botão de confirmação. Traduzir. (cap.all),2026-06-21
Cancel,UI,Cancelar,traduzir,none,,Botão de cancelamento. Traduzir. (cap.all),2026-06-21
Exit,UI,Sair,traduzir,none,,Opção de menu. Traduzir. (cap.all),2026-06-21
Scroll,UI,Rolar,traduzir,none,,Comando de menu (Scroll page up/down). Traduzir. (cap.all),2026-06-21
Save,UI,Salvar,traduzir,none,,Menu de save. Traduzir. (cap.all),2026-06-21
Wind,Mecânica,Vento,traduzir,none,,Elemento mágico vento. 'Vento' em PT-BR. 284x. (cap.all),2026-06-21
Earth,Mecânica,Terra,traduzir,none,,Elemento mágico terra. 'Terra' em PT-BR. 187x. (cap.all),2026-06-21
Mind,Mecânica,Mental,traduzir,none,,Tipo de ataque psíquico/mental. 'Mental' em PT-BR ('resistência a ataques Mentais'). 218x. (cap.all),2026-06-21
Magic,Mecânica,Magia,traduzir,none,,Magia/categoria mágica. 'Magia' em PT-BR. 80x. (cap.all),2026-06-21
Attack,Mecânica,Ataque,traduzir,none,,Stat/ação de ataque. 'Ataque' em PT-BR. 123x. (cap.all),2026-06-21
Healing,Mecânica,Cura,traduzir,none,,Tipo de magia/efeito de cura. 'Cura' em PT-BR. 54x. (cap.all),2026-06-21
Recover,Mecânica,Recuperar,traduzir,none,,Ação de recuperação de status. 'Recuperar' em PT-BR. 42x. (cap.all),2026-06-21
Ranged,Mecânica,À distância,traduzir,none,,Tipo de dano à distância. 'À distância' em PT-BR. 199x. (cap.all),2026-06-21
Melee,Mecânica,Corpo a corpo,traduzir,none,,Tipo de dano corpo a corpo. 200x. (cap.all),2026-06-21
Armor,Item,Armadura,traduzir,none,,Categoria de equipamento. 'Armadura'. 54x. (cap.all),2026-06-21
Sword,Item,Espada,traduzir,none,,Arma de categoria espada. 'Espada'. 54x. (cap.all),2026-06-21
Rod,Item,Vara,traduzir,none,,"Vara de pesca ou cajado. Contextual: pesca='Vara', magia='Cajado'. 54x. (cap.all)",2026-06-21
Rods,Item,Varas,traduzir,none,,Plural de Rod (categoria no menu de pesca). 48x. (cap.all),2026-06-21
Lures,Item,Iscas,traduzir,none,,Iscas de pesca. 'Iscas'. 96x. (cap.all),2026-06-21
River Spot,Local,Ponto de Rio,traduzir,none,,Local de pesca em rio. 96x. (cap.all),2026-06-21
Lake Spot,Local,Ponto de Lago,traduzir,none,,Local de pesca em lago. 84x. (cap.all),2026-06-21
Ocean Spot,Local,Ponto de Oceano,traduzir,none,,Local de pesca no oceano. 72x. (cap.all),2026-06-21
Salt Sea,Local,Mar Salgado,traduzir,none,,Zona de pesca / nome de peixe ou área. 60x. (cap.all),2026-06-21
Golden Plains,Local,Planícies Douradas,traduzir,none,,Local geográfico. 23x. (cap.all),2026-06-21
Power Level,Mecânica,Nível de Força,traduzir,none,,Nível de poder da vara de pesca. 72x. (cap.all),2026-06-21
Status,Mecânica,Status,manter_original,none,,Tipo de ataque de status ('Status attacks'). Manter 'Status' — universal em JRPGs. 276x. (cap.all),2026-06-21
Demons,Criatura,Demônios,traduzir,none,,Categoria de inimigos demoníacos. 'Demônios'. 72x. (cap.all),2026-06-21
Imperial,Cultural,Imperial,manter_original,none,,Adjetivo de facção ('Imperial troops'). Manter em PT-BR. 48x. (cap.all),2026-06-21
Majesty,Cultural,Majestade,traduzir,none,,Tratamento real ('His Majesty'). 'Majestade' em PT-BR. 54x. (cap.all),2026-06-21
Alliance,Facção,Aliança,traduzir,none,,'Aliança do Leste' (Eastern Alliance). Usar nome completo PT-BR; 'Alliance' → 'Aliança'. 33x. (cap.all),2026-06-21
ARaises Pwr,Mecânica,Aumenta For.,traduzir,none,,Efeito de habilidade: aumenta Pwr (controle [BF]+Raises+stat). 210x. (cap.all),2026-06-21
ARaises Dodge,Mecânica,Aumenta Esquiva,traduzir,none,,Efeito de habilidade: aumenta Dodge. 174x. (cap.all),2026-06-21
ARaises Hit,Mecânica,Aumenta Acerto,traduzir,none,,Efeito de habilidade: aumenta Hit. 54x. (cap.all),2026-06-21
ARaises Defense,Mecânica,Aumenta Def.,traduzir,none,,Efeito de habilidade: aumenta Defense. 30x. (cap.all),2026-06-21
ARaises Wisdom,Mecânica,Aumenta Sab.,traduzir,none,,Efeito de habilidade: aumenta Wisdom. 42x. (cap.all),2026-06-21
ARaises Agility,Mecânica,Aumenta Agi.,traduzir,none,,Efeito de habilidade: aumenta Agility. 36x. (cap.all),2026-06-21
ARaises Power,Mecânica,Aumenta For.,traduzir,none,,Efeito de habilidade: aumenta Power. 24x. (cap.all),2026-06-21
Guard Focus Counter,Mecânica,Contra-ataque Focado,traduzir,none,,Técnica de batalha. 54x. (cap.all),2026-06-21
Raises Defense,Mecânica,Aumenta Def.,traduzir,none,,Efeito de habilidade (versão longa). 24x. (cap.all),2026-06-21
Egg Magic,Mecânica,Egg Magic,manter_original,none,,Habilidade mágica especial. 30x; manter nome até confirmar localização. (cap.all),2026-06-21
Tomb,Local,Mausoléu,traduzir,none,,'Emperor's Tomb' = Mausoléu Imperial. 49x. (cap.all),2026-06-21
Castle,Local,Castelo,traduzir,none,,Localização genérica de castelo. 51x. (cap.all),2026-06-21
Ludians,Cultural,Ludianos,traduzir,none,,Povo da região de Ludia. 23x. (cap.all),2026-06-21
Hesperia,Local,Hesperia,manter_original,none,,Localidade mencionada no corpus. 20x. (cap.all),2026-06-21
Change,Mecânica,Mudar,traduzir,none,,Instrução/ação de mudança de forma ou opção em diálogo. (cap.all),2026-06-21
Try,UI,Tentar,traduzir,none,,Instrução em diálogo. (cap.all),2026-06-21
Move,UI,Mover,traduzir,none,,Ação mover em diálogo. (cap.all),2026-06-21
Army,Cultural,Exército,traduzir,none,,Forças militares em diálogo. (cap.all),2026-06-21
Tower,Local,Torre,traduzir,none,,Torre de Vento / local em diálogo (Pung-tap = Torre do Vento). (cap.all),2026-06-21
Causeway,Local,Passagem,traduzir,none,,Via imperial / passagem em diálogo. (cap.all),2026-06-21
Using Silverware,Mecânica,Usar Talheres,traduzir,none,,Habilidade de batalha. (cap.all),2026-06-21
Insurance Contract,Mecânica,Contrato de Seguro,traduzir,none,,Mecânica Manillo mencionada em diálogo. (cap.all),2026-06-21
Thirteenth,Cultural,Décimo Terceiro,traduzir,none,,Ordinal — título/cargo militar em diálogo. (cap.all),2026-06-21
Eighth,Cultural,Oitavo,traduzir,none,,Ordinal — título/cargo militar em diálogo. (cap.all),2026-06-21
Fifth,Cultural,Quinto,traduzir,none,,Ordinal — título/cargo em diálogo. (cap.all),2026-06-21
Fourth,Cultural,Quarto,traduzir,none,,Ordinal — título/cargo em diálogo. (cap.all),2026-06-21
Pabpab,Local,Pabpab,manter_original,none,,Topônimo; manter. 25x no corpus. (cap.all),2026-06-21
Gramps,Cultural,Velhinho,traduzir,none,,Honorífico informal. (cap.all),2026-06-21
Fane,Local,Fane,manter_original,none,,Templo/santuário — topônimo. (cap.all),2026-06-21
Ninth,Cultural,Nono,traduzir,none,,Ordinal — título/cargo militar em diálogo. (cap.all),2026-06-21
Twelfth,Cultural,Décimo Segundo,traduzir,none,,Ordinal — título/cargo em diálogo. (cap.all),2026-06-21
West,Cultural,Oeste,traduzir,none,,Referência geográfica em diálogo. (cap.all),2026-06-21
Standing,Cultural,Posição,traduzir,none,,Posição/cargo em diálogo. (cap.all),2026-06-21
Quit,UI,Sair,traduzir,none,,Ação em diálogo. (cap.all),2026-06-21
Desert Dif,Local,Desert Dif,manter_original,none,,Localidade — variante de Astan Dif. (cap.all),2026-06-21
Island,Local,Ilha,traduzir,none,,Local geográfico em diálogo. (cap.all),2026-06-21
Close,UI,Fechar,traduzir,none,,Ação em diálogo. (cap.all),2026-06-21
Diet Hard,Mecânica,Diet Hard,manter_original,none,,Habilidade de batalha (trocadilho). (cap.all),2026-06-21
Material,Item,Material,manter_original,none,,Categoria de item em diálogo. (cap.all),2026-06-21
Table Manners,Mecânica,Table Manners,manter_original,none,,Habilidade de batalha (nome humorístico). (cap.all),2026-06-21
Catch,Mecânica,Capturar,traduzir,none,,Ação de pesca/captura em diálogo. (cap.all),2026-06-21
Directional,UI,Direcional,traduzir,none,,Instrução de controle em diálogo. (cap.all),2026-06-21
Equip,UI,Equipar,traduzir,none,,Ação de equipar em diálogo. (cap.all),2026-06-21
Super Combo,Mecânica,Super Combo,manter_original,none,,Técnica/skill de batalha. (cap.all),2026-06-21
Ultimate,Mecânica,Supremo,traduzir,none,,Tipo/nível de habilidade em diálogo. (cap.all),2026-06-21
Western,Cultural,Ocidental,traduzir,none,,Referência geográfica (Western Continent). (cap.all),2026-06-21
Ryu,Personagem,Ryu,manter_original,none,,"Protagonista; nome personalizavel pelo jogador — aparece via control code [04][01], nunca como texto literal. Padrao canonical: Ryu. (cap.all)",2026-06-21
