canonical_name,category,aliases,importance,confidence,notes
Aliança do Leste,Facção,Eastern Alliance(none),main,high,"Facção do continente oriental, oposta ao Império Fou. Wikipedia PT confirma 'Aliança do Leste'. 33x no corpus como 'Alliance'. Fonte: Wikipedia-T1 (humano). (cap.all)"
Synesta,Local,,secondary,high,Cidade onde Elina desapareceu. Wikipedia PT confirma. 35x no corpus. Fonte: Wikipedia-T1 + corpus. (cap.all)
Chamba,Local,,background,medium,Aldeia/local do mundo de BoF4. 40x no corpus. Fonte: corpus. (cap.all)
Saldine,Local,,background,medium,Localidade. 38x no corpus. Fonte: corpus. (cap.all)
Pabpab,Local,,background,low,Localidade mencionada em mapa. 25x no corpus. Fonte: corpus. (cap.all)
Wind Dragon,Conceito,,secondary,medium,Dragão do Vento — divindade/guardião do povo Fae/Wyndian. 35x no corpus. Fonte: corpus + training-T2. (cap.all)
Sandflier,Item,,secondary,medium,Veículo que navega no oceano de areia entre os continentes. Wikipedia PT: 'barcos que navegam pela areia'. Corpus: item/veículo. Fonte: Wikipedia-T1. (cap.all)
Red Seal,Item,Red(none),background,medium,Selo vermelho — modificador de item/equipamento. 35x no corpus. Fonte: corpus. (cap.all)
Yellow Seal,Item,Yellow(none),background,medium,Selo amarelo — modificador de item. 29x no corpus. Fonte: corpus. (cap.all)
Blue Seal,Item,Blue(none),background,low,Selo azul — modificador de item. 23x no corpus. Fonte: corpus. (cap.all)
Mami,Personagem,,background,low,NPC. Aparece em lista de nomes no corpus. Fonte: corpus. (cap.all)
Tarhn,Personagem,,background,low,NPC. 36x no corpus. Fonte: corpus. (cap.all)
Iggy,Personagem,,background,low,NPC. 24x no corpus. Fonte: corpus. (cap.all)
Levant,Personagem,,background,low,Personagem ou local. 32x no corpus. Fonte: corpus. (cap.all)
Rhun,Personagem,,background,low,Personagem ou local. 31x no corpus. Fonte: corpus. (cap.all)
Soniel,Personagem,,background,low,NPC. 23x no corpus. Fonte: corpus. (cap.all)
Oracle,Cultural,,background,low,Título de personagem/cargo religioso. 24x no corpus. Fonte: corpus. (cap.all)
Ahtar,Personagem,,background,low,NPC. 13x no corpus de diálogo. Fonte: corpus. (cap.all)
Mei,Personagem,,background,low,NPC. 13x no corpus de diálogo. Fonte: corpus. (cap.all)
Ludia,Local,,secondary,medium,Região/localidade de Ludia; dá nome ao povo 'Ludians'. 103x no corpus total. Fonte: corpus. (cap.all)
Grass Dragon,Conceito,,background,medium,Forma dragão grama de Ryu. Fonte: corpus + training-T2. (cap.all)
Sand Dragon,Conceito,,background,medium,Forma dragão areia de Ryu. Fonte: corpus + training-T2. (cap.all)
Rock Dragon,Conceito,,background,medium,Forma dragão rocha de Ryu. Fonte: corpus + training-T2. (cap.all)
Tree Dragon,Conceito,,background,medium,Forma dragão árvore de Ryu. Fonte: corpus + training-T2. (cap.all)
Mud Dragon,Conceito,,background,low,Forma dragão lama de Ryu. Fonte: corpus + training-T2. (cap.all)
Dragon Crystal,Item,,background,medium,Cristal de dragão — item de transformação. Fonte: corpus. (cap.all)
P'ung Ryong,Conceito,Wind Dragon(none),secondary,medium,Nome coreano do Dragão do Vento. 15x no corpus de diálogo. Fonte: corpus. (cap.all)
Shyde,Local,,background,low,Localidade/checkpoint. Fonte: corpus. (cap.all)
Kyoin,Local,,background,low,Localidade. Fonte: corpus. (cap.all)
Sonne,Local,Sonne Village(none),background,low,Aldeia de Sonne. Fonte: corpus. (cap.all)
Imperial Capital,Local,,background,medium,Capital do Império Fou. Fonte: corpus. (cap.all)
Kasq Woods,Local,Kasq Wds(none),background,low,Floresta de Kasq. Fonte: corpus. (cap.all)
Yorae Shrine,Local,,background,medium,Santuário do Yorae. Fonte: corpus. (cap.all)
Temul,Personagem,,background,low,NPC do corpus de diálogo. Fonte: corpus. (cap.all)
Pukapuka,Local,,background,low,Localidade do corpus de diálogo. Fonte: corpus. (cap.all)
Poko,Personagem,,background,low,NPC do corpus de diálogo. Fonte: corpus. (cap.all)
Zig,Personagem,,background,low,NPC do corpus de diálogo. Fonte: corpus. (cap.all)
Chedo,Local,,background,low,Localidade do corpus de diálogo. Fonte: corpus. (cap.all)
Beyd,Personagem,,background,low,NPC do corpus de diálogo. Fonte: corpus. (cap.all)
Lyta,Personagem,,background,low,NPC do corpus de diálogo. Fonte: corpus. (cap.all)
Kryrik,Personagem,,background,low,NPC/inimigo do corpus de diálogo. Fonte: corpus. (cap.all)
Rhem,Personagem,,background,low,NPC do corpus de diálogo. Fonte: corpus. (cap.all)
Rudd,Personagem,,background,low,NPC do corpus de diálogo. Fonte: corpus. (cap.all)
Tak,Personagem,,background,low,NPC do corpus de diálogo. Fonte: corpus. (cap.all)
Kahn,Personagem,,background,low,NPC do corpus de diálogo. Fonte: corpus. (cap.all)
Rhoppe,Personagem,,background,low,NPC do corpus de diálogo. Fonte: corpus. (cap.all)
