offset,file,entry_idx,ptr_idx,text_en,byte_budget,speaker_code
AREAD001.DAT:7:32,AREAD001.DAT,7,32,"[0C][05][14][C4]@""It's no use...[02]We can't go this way[01]either.""",51,
AREAD001.DAT:7:33,AREAD001.DAT,7,33,"[14][C1]@""You mean...""",17,[14][C1]
AREAD001.DAT:7:34,AREAD001.DAT,7,34,"[0C][05][14][04][03]""Until the tide[01]changes and the flats[01]reappear...[02]We're stuck here.""",74,
AREAD001.DAT:7:35,AREAD001.DAT,7,35,"[14][05][04]""How can you be so[01]calm!?""",30,[14][05]
AREAD001.DAT:7:38,AREAD001.DAT,7,38,"[14][86]E""Chill out, [04][02]![02]We'll get out of[01]here--you can count[01]on it.[02]Remember, [04]",75,[14][86]
AREAD001.DAT:7:39,AREAD001.DAT,7,39,"[14][86]E""At the very least,[01][04]",25,[14][86]
AREAD001.DAT:7:40,AREAD001.DAT,7,40,"[14][07][01]""Oh...[0B]Good morning,[01][04]",26,[14][07]
AREAD001.DAT:7:41,AREAD001.DAT,7,41,"[14][05][04]""...[0B]...[0B]...""",17,[14][05]
AREAD001.DAT:7:42,AREAD001.DAT,7,42,"[14][07][01]""Well, we weren't[01]exactly expecting[02]something like this[01]to happen, but...[02][14][01][01]I'm sure everything[01]will work out in the[01]end.""",127,[14][07]
AREAD001.DAT:7:47,AREAD001.DAT,7,47,"[14][C1]@""Are you going off[01]to explore the[01]island?[02]I hope you don't mind[01]if I come with you!""",88,[14][C1]
AREAD001.DAT:7:49,AREAD001.DAT,7,49,"[0C][06][14][85]D""Uh...[0B]Hey...[0B]I...""",25,
AREAD001.DAT:7:50,AREAD001.DAT,7,50,"[0C][05][14][04][03]""Calm down![02]Get a hold of[01]yourself.""",42,
AREAD001.DAT:7:51,AREAD001.DAT,7,51,"[0C][05][14][04][03]""You're supposed to[01]be the leader of this[02]little expedition,[01]aren't you!?""[02][14][0D][08]...[0B]...[0B]...""",96,
AREAD001.DAT:7:52,AREAD001.DAT,7,52,"[0C][03][14][C3]@""Pukapuka...""",19,
AREAD001.DAT:7:53,AREAD001.DAT,7,53,"[0C][03][14][86]E""Remember what the[01]Pabpab said?[02]Pukapuka...What will[01]be, will be...[02]That's a good lesson[01]to learn, pretty[01]kitty...""[02][14][C5]@""Indeed.""",134,
AREAD001.DAT:7:55,AREAD001.DAT,7,55,"[0C][02][14][C1]@""We were just talking[01]about going to look[01]for some food.""",63,
AREAD001.DAT:7:57,AREAD001.DAT,7,57,"[14][06][05]""Well, I suppose[01]there are a lot worse[01]places to get stuck.""[02][14]E",67,[14][06]
AREAD001.DAT:7:59,AREAD001.DAT,7,59,"[14][0E][01]""I guess this means[01]you can fish around[01]here...Right?""",58,[14][0E]
AREAD001.DAT:7:60,AREAD001.DAT,7,60,"[0C][05][14][01][01]""Were you able to[01]catch anything,[01][04]",41,
AREAD001.DAT:7:61,AREAD001.DAT,7,61,"[0C][05][14][07][01]""Well, that means we[01]don't have to worry[01]about food then.""",64,
AREAD001.DAT:7:62,AREAD001.DAT,7,62,"[0C][05][14][01][01]""We should go back[01]and tell everyone[01]what we found.""",58,
AREAD001.DAT:7:64,AREAD001.DAT,7,64,"[0C][05][14][07][01]""OK...[02][14]A",15,
AREAD001.DAT:7:66,AREAD001.DAT,7,66,"[0C][05][14][01][01]""Good luck, [04]",19,
AREAD001.DAT:7:78,AREAD001.DAT,7,78,"[0C][06][14][C2]@""That's good...[02]I'm sorry, [04][01].[01]I don't know what[01]happened...[02]It's just...When I[01]thought we were[01]trapped here,[02]I just...I don't[01]know, I panicked...""",153,
AREAD001.DAT:7:79,AREAD001.DAT,7,79,"[0C][05][14][01][01]""Don't worry, [04][02].[01]We just have to be[01]patient, that's all.""",64,
AREAD001.DAT:7:81,AREAD001.DAT,7,81,"[0C][06][14][01][01]""[04][02], we're going[01]fishing. We'll be[01]back soon!""",52,
AREAD001.DAT:7:82,AREAD001.DAT,7,82,"[14][05][04]""What will be, will[01]be, huh?...[0B]...""",40,[14][05]
AREAD001.DAT:7:87,AREAD001.DAT,7,87,"[14][07][01]""What happened,[01][04]",21,[14][07]
AREAD001.DAT:7:90,AREAD001.DAT,7,90,"[14][87]A""I always figured[01]they would get[01]married someday...[02][14][81]AHe's been like a[01]brother to me...""",93,[14][87]
AREAD001.DAT:7:91,AREAD001.DAT,7,91,"[14][C1]@""I think maybe...I[01]look up to him more[01]than love him...""",60,[14][C1]
AREAD001.DAT:7:92,AREAD001.DAT,7,92,"[14][C1]@""I mean, he's[01]strong...[02]There's nothing he[01]can't do...He's[01]funny...""",72,[14][C1]
AREAD001.DAT:7:101,AREAD001.DAT,7,101,"[14][15][04]""Hey! Look! The[01]tide...!""",29,[14][15]
AREAD001.DAT:7:102,AREAD001.DAT,7,102,"[14][C1]@""It looks like it's[01]going out.[02]Let's go see!""",49,[14][C1]
AREAD001.DAT:7:106,AREAD001.DAT,7,106,"[14][06][05]""See? I told you we[01]just had to be[01]patient.""[02][14]E",51,[14][06]
AREAD001.DAT:7:110,AREAD001.DAT,7,110,You can rest here.[12],20,
AREAD001.DAT:7:111,AREAD001.DAT,7,111,It's empty.,12,
AREAD001.DAT:7:113,AREAD001.DAT,7,113,Keep our fishing spots[01]clean! Remember to pick[01]up your trash!,62,
AREAD001.DAT:7:114,AREAD001.DAT,7,114,You can rest here.[12][8B][0C][93]Rest[01]Diary[01]Never mind,44,
AREAS001.DAT:9:0,AREAS001.DAT,9,0,"""You hear all kinds[01]of things in places[01]like this...[02]If you're looking[01]for something,[02]it might be a good[01]idea to talk to the[01]people in here.""",142,
AREAS001.DAT:9:1,AREAS001.DAT,9,1,"""You hear all kinds[01]of things in places[01]like this...[02]If you're looking[01]for something,[02]it might be a good[01]idea to talk to the[01]people in here.""",142,
AREAS001.DAT:9:2,AREAS001.DAT,9,2,"""You hear all kinds[01]of things in places[01]like this...[02]If you're looking[01]for something,[02]it might be a good[01]idea to talk to the[01]people in here.""",142,
AREAS001.DAT:9:4,AREAS001.DAT,9,4,"[14][01][01]""I was on my way[01]here, see, when I[02]see this big crater[01]in the ground...""[02][14][FF][FF][14][80]@""And you fell in it[01]and lost all your[01]stuff, right?""",135,[14][01]
AREAS001.DAT:9:5,AREAS001.DAT,9,5,"""Welcome, stranger.[01]This your first time[01]to Sarai?""",52,
AREAS001.DAT:9:6,AREAS001.DAT,9,6,"[14][02][02]""munch munch munch""",23,[14][02]
AREAS001.DAT:9:7,AREAS001.DAT,9,7,"""I'd keep my purse-[01]strings tight if I[01]were you...[02]There's nothing[01]people around here[02]wouldn't do to make[01]a quick zenny or[01]two.""",129,
AREAS001.DAT:9:8,AREAS001.DAT,9,8,"""Nothing in this[01]world's for free.[02]You want to ask[01]someone here[01]something,[02]try buying them a[01]drink or two.""",108,
AREAS001.DAT:9:9,AREAS001.DAT,9,9,"[14][03][03]""Huh? Sandflier[01]parts? Don't know[01]nuthin' 'bout that.[02]In case you didn't[01]notice, this here's[02]a tavern, not a[01]store.""",120,[14][03]
AREAS001.DAT:9:10,AREAS001.DAT,9,10,"""They say there's a[01]cease-fire right[01]now...[02]Don't want to think[01]about what would[02]happen if the war[01]started up again...""",120,
AREAS001.DAT:9:11,AREAS001.DAT,9,11,"""Some people say[01]they've seen[01]Imperial troops[02]poking around the[01]town lately...[02]Makes you wonder if[01]they're reckoning to[01]start another war...""",142,
AREAS001.DAT:9:12,AREAS001.DAT,9,12,"""If you're looking[01]for something, you[01]should try asking[02]around in the[01]tavern...[02]'Course, I dunno if[01]I'd want t'go there[01]if I was a girl...""",140,
AREAS001.DAT:9:13,AREAS001.DAT,9,13,"""Well well...What[01]have we here?[02]Don't see many women[01]in a tavern.""",67,
AREAS001.DAT:9:14,AREAS001.DAT,9,14,"[14][03][03]""I don't know why[01]you're looking for[02]what you're looking[01]for, and I don't[01]care, either...[02]But you won't find[01]what you're looking[01]for here, missy...""",152,[14][03]
AREAS001.DAT:9:16,AREAS001.DAT,9,16,"[14][04][04]""Thanks![02]Don't worry---it's[01]for real! I wouldn't[01]try to cheat anyone!""",74,[14][04]
AREAS001.DAT:9:17,AREAS001.DAT,9,17,"[14][04][04]""I mean it--it's a[01]good deal!""",34,[14][04]
AREAS001.DAT:9:18,AREAS001.DAT,9,18,"[14][04][04]""Hey! Looks like you[01]don't even have that[01]much zenny!""",58,[14][04]
AREAS001.DAT:9:19,AREAS001.DAT,9,19,"""Found what you were[01]looking for yet?""",39,
AREAS001.DAT:9:21,AREAS001.DAT,9,21,"[14][01][01]""I lost everything I[01]had when I fell into[01]that crater!""[02][14][FF][FF][14][80]@""Don't worry about[01]it. I mean,[02]it was just some[01]clothing and[01]stuff, right?""",141,[14][01]
AREAS001.DAT:9:22,AREAS001.DAT,9,22,"""See that merchant[01]over there?[02]Says he lost all his[01]stuff when he fell[01]in a hole somewhere!""",93,
AREAS001.DAT:9:23,AREAS001.DAT,9,23,"[14][02][02]""I ain't full yet![01]munch munch munch""",41,[14][02]
AREAS001.DAT:9:24,AREAS001.DAT,9,24,"""Well, I guess[01]getting cheated out[01]of your money's not[02]so bad...I mean, it[01]could be worse...[02]At least nobody gets[01]hurt or killed,[01]right?""",138,
AREAS001.DAT:9:25,AREAS001.DAT,9,25,"""That old man's been[01]here forever,[02]just sitting there[01]eating...[02]He's probably heard[01]just about every[02]story of everyone who[01]comes in here.""",139,
AREAS001.DAT:9:26,AREAS001.DAT,9,26,"[14][03][03]""You won't find what[01]you're looking for[01]here.[02]This is a tavern,[01]not a...""",77,[14][03]
AREAS001.DAT:9:27,AREAS001.DAT,9,27,"[14][03][03]""Oh, you know about[01]that?[02]Well now, that's[01]different then,[01]isn't it?""",73,[14][03]
AREAS001.DAT:9:28,AREAS001.DAT,9,28,"[14][03][03]""Come this way.""",20,[14][03]
AREAS001.DAT:9:29,AREAS001.DAT,9,29,"[14][03][03]""When you deal in[01]contraband, you can't[01]be too careful, eh?""",64,[14][03]
AREAS001.DAT:9:30,AREAS001.DAT,9,30,"[14][05][05]""You're probably[01]wondering why we go[02]to all this trouble,[01]aren't you?""",74,[14][05]
AREAS001.DAT:9:31,AREAS001.DAT,9,31,"[0C][05][14][05][05]""That's because[01]selling sandfliers[02]is a dangerous[01]business.""",66,
AREAS001.DAT:9:32,AREAS001.DAT,9,32,"[0C][05][14][05][05]""See, sandfliers were[01]originally designed[01]as war machines.[02]If the Empire found[01]out we were selling[01]them,[02]the next time a war[01]breaks out, they'd[01]come after us!""",165,
AREAS001.DAT:9:33,AREAS001.DAT,9,33,"[0C][05][14][05][05]""I don't want this[01]place to end up under[01]a hex,[02]like Chamba or[01]Synesta--no thank[01]you!""",92,
AREAS001.DAT:9:34,AREAS001.DAT,9,34,"[0C][06][14][C1]@""Does that mean you[01]don't have any[01]sandflier parts!?""",59,
AREAS001.DAT:9:35,AREAS001.DAT,9,35,"[0C][05][14][05][05]""Not exactly...[02]There's a place they[01]call [05][02]Sandflier[01]Valley[06] near here.[02]It's a junkyard, full[01]of old, broken down[01]sandfliers.""",133,
AREAS001.DAT:9:36,AREAS001.DAT,9,36,"[0C][05][14][05][05]""If you go there[01]and bring back some[01]useable material,[02]I'll make you your[01]sandflier parts.[01]Deal?""",103,
AREAS001.DAT:9:37,AREAS001.DAT,9,37,"[0C][06][14][C1]@""All right then,[01]we'll go to this[02][05][02]Sandflier Valley[06],[01]and get you the[01]material you need.""",96,
AREAS001.DAT:9:38,AREAS001.DAT,9,38,"[14][05][05]""Sorry for all the[01]secrecy, but[02]you can't be too[01]careful in this[01]business...""",81,[14][05]
AREAS001.DAT:9:39,AREAS001.DAT,9,39,"[14][06][06]""The valley's to the[01]south of the town.""",44,[14][06]
AREAS001.DAT:9:40,AREAS001.DAT,9,40,"""I wonder if there's[01]going to be another[01]war...I hope not!""",60,
AREAS001.DAT:9:41,AREAS001.DAT,9,41,"""I've heard rumors[01]that there are[02]Imperial troops here[01]in town...""",67,
AREAS001.DAT:9:42,AREAS001.DAT,9,42,"[0C][06][14][81]A""[0D]Wha-[0E][0F]",14,
AREAS001.DAT:9:43,AREAS001.DAT,9,43,"[0C][03][14][07][07]""Don't be afraid...[02]I just want some[01]information, that's[01]all.[02]I want you to tell[01]me all about the[02]monster you say you[01]saw.""",129,
AREAS001.DAT:9:44,AREAS001.DAT,9,44,"[0C][04][14][81]A""Heh![02]I ain't got nothin'[01]to tell you! Pah!""",50,
AREAS001.DAT:9:45,AREAS001.DAT,9,45,"[0C][03][14][07][07]""Well!...[0B][02]I'd try to be[01]a little more[02]cooperative if[01]I were you...""",74,
AREAS001.DAT:9:46,AREAS001.DAT,9,46,"[0C][0B][14][07][07]""Otherwise...[0B]Things[01]might get a little[01]uncomfortable...[02]And we wouldn't want[01]that, now would we?""",104,
AREAS001.DAT:9:47,AREAS001.DAT,9,47,"[0C][0C][14][88][08]""What do you think[01]you're doing!?""",40,
AREAS001.DAT:9:48,AREAS001.DAT,9,48,"[0C][06][14][89]H""Wh...[0B]Why are you[01]doing this!?[02]I thought the war[01]was supposed to be[01]over!""",81,
AREAS001.DAT:9:49,AREAS001.DAT,9,49,"[0C][05][14][07][07]""Why? Because I don't[01]like people who try[01]to hide things.[02]Besides...""",75,
AREAS001.DAT:9:50,AREAS001.DAT,9,50,"[0C][03][14][07][07]""The war's not [05][02]over[06].[02]There's been a [05][02]cease-[01]fire[06] called, that's[01]all.[02]Do you understand[01]the difference,[01]missy...""",123,
AREAS001.DAT:9:51,AREAS001.DAT,9,51,"[0C][03][14][07][07]""Wait...[0B]You're a[01]Wyndian...[02][14][0A][09]""Well well, if it[01]isn't the little[01]princess!""",83,
AREAS001.DAT:9:52,AREAS001.DAT,9,52,"[0C][03][14][07][07]""We were sent out to[01]find a dragon, but[02]we found a little[01]bird instead![02][14][0A][09]Grab her, men--no[01]reason we shouldn't[01]take her as well!""",137,
AREAS001.DAT:9:53,AREAS001.DAT,9,53,"[0C][06][14][C1]@""W...Wait![02]Do you know something[01]about my sister...!?""",60,
AREAS001.DAT:9:54,AREAS001.DAT,9,54,"[0C][03][14][07][07]""By the power granted[01]me, I command thee![02]Warrior spirit![01]Thou art summoned!""",83,
AREAS001.DAT:9:55,AREAS001.DAT,9,55,"[0C][03][14][07][07]""Joh...I want you to[01]capture that girl.[02]Be careful not to[01]hurt her...Too much.""",85,
AREAS001.DAT:9:56,AREAS001.DAT,9,56,"[0C][03][14][07][07]""My! You're stronger[01]than you look!""",42,
AREAS001.DAT:9:57,AREAS001.DAT,9,57,"[0C][03][14][07][07]""Ho...What's this?[02]A dashing knight,[01]come to save the[01]Princess?""",70,
AREAS001.DAT:9:58,AREAS001.DAT,9,58,"[0C][03][14][07][07]""How gallant.[02]You know it's a[01]knight's job to[02]protect his lady,[01]don't you?[02][14][0A][09]""Where have you been[01]all this time?[02]Afraid, hiding in[01]some closet or...""",156,
AREAS001.DAT:9:59,AREAS001.DAT,9,59,"[0C][03][14][07][07]""H...[0B][0B]How [0D]dare[0E][0F][02][01]you!? You filthy[01]little...""",53,
AREAS001.DAT:9:60,AREAS001.DAT,9,60,"[0C][04][14][89]H""L...[0B]Let's get[01]out of here...!""",38,
AREAS001.DAT:9:61,AREAS001.DAT,9,61,"[0C][05][14][07][07]""What're you just[01]standing around for!?[02]After them!!""",59,
AREAS001.DAT:9:62,AREAS001.DAT,9,62,"[14][02][02]""munch munch munch...[02]Huh? You want to talk[01]to me?""",55,[14][02]
AREAS001.DAT:9:63,AREAS001.DAT,9,63,"[14][02][02]""Hmmm...munch munch[02]Well, if you want[01]something from[01]someone,[02]you gotta have the[01]right attitude,[01]don'tcha think?""[12][01][0C][92]OK, I'll buy you[08]some food.[01]What do you mean?",166,[14][02]
AREAS001.DAT:9:64,AREAS001.DAT,9,64,"[14][02][02]""Come back when[01]you've learned some[01]manners...munch!""",57,[14][02]
AREAS001.DAT:9:65,AREAS001.DAT,9,65,"[14][02][02]""You mean it?[01]Thanks...[02]I don't want you to[01]feel obliged or[01]anything, though.""",82,[14][02]
AREAS001.DAT:9:67,AREAS001.DAT,9,67,"   Minigame Instructions[14][02][02]""...[0B]...[0B]...[02][0D]Buuuuurp![0E][0F][09][01]Boy, I'm full! That[01]was good![02]All right then, I'll[01]tell you what you[01]want to know![02]If you're looking for[01]something, go talk to[02]the information[01]broker in front of[01]the inn![02]He can tell you where[01]to find what you're[01]looking for![02]burp!""",287,
AREAS001.DAT:9:68,AREAS001.DAT,9,68,"[14][02][02]""...[0B]...[0B]...[02][0D]Buuuuurp![0E][0F][09][01]Boy, I'm full! That[01]was good![02]All right then, I'll[01]tell you what you[01]want to know![02]If you're looking for[01]something, go talk to[02]the information[01]broker in front of[01]the inn![02]He can tell you where[01]to find what you're[01]looking for![02]burp!""",263,[14][02]
AREAS001.DAT:9:69,AREAS001.DAT,9,69,"[14][02][02]""[0D]Uuuhhhhh....[0E][0F][02][02]I think I had too[01]much to eat...[01]My stomach...[02]H[0B]u[0B]r[0B]t[0B]s...""",82,[14][02]
AREAS001.DAT:9:70,AREAS001.DAT,9,70,"[14][02][02]""[0D]baaaarrrrfff![01]Ih....Ih thinkh Ih[01]drankh too much![0E][0F][01]""",59,[14][02]
AREAS001.DAT:9:71,AREAS001.DAT,9,71,"[14][02][02]""munch munch...Huh?[02]You going to buy me[01]something else?""[12][01][0C][82]Yes[01]No",70,[14][02]
AREAS001.DAT:9:72,AREAS001.DAT,9,72,"[14][02][02]""You will! Well then,[01]let's not waste any[01]time!""",52,[14][02]
AREAS001.DAT:9:73,AREAS001.DAT,9,73,[0C]!Do you want to read the[01]instructions?[12][02][0C][82]Yes[01]No,50,
AREAS001.DAT:9:74,AREAS001.DAT,9,74,"[14][02][02]""munch munch crunch[02]Are you going to buy[01]me something or not?""[12][01][0C][82]Yes[01]No",76,[14][02]
AREAS001.DAT:9:75,AREAS001.DAT,9,75,"[14][02][02]""Hmmm...[02]That's not the way[01]to ask a favor of[01]someone!""",59,[14][02]
AREAS001.DAT:9:76,AREAS001.DAT,9,76,"[14][02][02]""Have you met with[01]the information[01]broker yet?[02]You can find him in[01]front of the inn,[01]you know.""",99,[14][02]
AREAS001.DAT:9:77,AREAS001.DAT,9,77,"[14][02][02]""I'm impressed! Don't[01]meet many young folks[01]as generous as you![02]Here--I got something[01]for you!""",99,[14][02]
AREAS001.DAT:9:80,AREAS001.DAT,9,80,[05][02]Happy[06],9,
AREAS001.DAT:9:92,AREAS001.DAT,9,92,"""Really? You got[01]enough money to buy[01]me food?""[12][03][0C][82]Yes[01]No",57,
AREAS001.DAT:9:95,AREAS001.DAT,9,95,"""They say there's a[01]cease-fire right[01]now...[02]Don't want to think[01]about what would[02]happen if the war[01]started up again...""",120,
AREAS001.DAT:9:96,AREAS001.DAT,9,96,"""Some people say[01]they've seen[01]Imperial troops[02]poking around the[01]town lately...[02]Makes you wonder if[01]they're reckoning to[01]start another war...""",142,
AREAS001.DAT:9:99,AREAS001.DAT,9,99,"""Huh? Looks like you[01]don't have enough[01]zenny there.""",53,
AREAS001.DAT:9:100,AREAS001.DAT,9,100,"""I wonder if they'd[01]use a hex against us[01]if we went to war,[02]like they did with[01]Chamba and Synesta.[02]Just the thought of[01]it scares me silly!""",140,
AREAS001.DAT:9:101,AREAS001.DAT,9,101,"""People say that[01]Imperial troops've[01]come to town.[02]Does that mean we're[01]at war again?""",86,
AREAS001.DAT:9:102,AREAS001.DAT,9,102,"[14][0B][0A]""[0D][0F][08]Hmmmmmmmmmm![0E][02][0B]...[0B]...[0B]That was[01]a yawn. Hmmm...""",56,[14][0B]
AREAS001.DAT:9:103,AREAS001.DAT,9,103,"[0A][02]""squeek!""",12,
AREAS001.DAT:9:104,AREAS001.DAT,9,104,"""[0D][0F][01]I'm not af-afraid[01]of mice![0E][02][0D][0F][01]I-I just don't want[01]to c-come down...[01][0B][0B][0B]That's all![0E]""",90,
AREAS001.DAT:9:105,AREAS001.DAT,9,105,"[14][03][03]""Haven't got as many[01]customers since that[02]trouble with those[01]Imperial troops...""",84,[14][03]
AREAS001.DAT:9:106,AREAS001.DAT,9,106,"""You've gotten more[01]manly since you were[01]here last.""",53,
AREAS001.DAT:9:107,AREAS001.DAT,9,107,"""I heard from a guy[01]passing through that[02]the Empire uses[01]something called a[01]Carronade to put a[02]hex on its enemies...[02]Is it true?""",130,
AREAS001.DAT:9:108,AREAS001.DAT,9,108,"""First it's Imperial[01]troops in the town,[02]next it's that[01]Carronade of[01]theirs...[02]I guess it's true[01]what they say--[02]that another war is[01]starting...""",146,
AREAS001.DAT:9:109,AREAS001.DAT,9,109,"[14][03][03]""You looking for the[01]people who were here?[02]They all got scared[01]and ran off!""",80,[14][03]
AREAS001.DAT:9:110,AREAS001.DAT,9,110,"""That fancy Imperial[01]fellow was a sight to[02]see with that big[01]scar on his face!""",80,
AREAS001.DAT:9:111,AREAS001.DAT,9,111,"""I heard those troops[01]were looking for a[01]dragon...[02]I'm just glad they[01]weren't here to start[01]another war!""",106,
AREAS001.DAT:9:112,AREAS001.DAT,9,112,"""I wish those troops[01]would save all their[01]energy for the[02]dragons they're[01]looking for, and[01]leave us alone!""",107,
AREAS002.DAT:8:2,AREAS002.DAT,8,2,"""I'm sorry, but it seems[01]you're a little short on[01]zenny there.""",64,
AREAS002.DAT:8:3,AREAS002.DAT,8,3,"""Right now, I'm just a[01]traveling merchant,[02][19]",45,
AREAS002.DAT:8:4,AREAS002.DAT,8,4,"""I heard that Princess[01][04][01] has left in search[01]of her missing sister...[02]The king must be worried[01]sick about them.""",113,
AREAS002.DAT:8:5,AREAS002.DAT,8,5,"""If my sister disappeared,[01]I'd go look for her too!""",53,
AREAS002.DAT:8:6,AREAS002.DAT,8,6,"""Don't you worry--I won't[01]disappear anywhere!""",47,
AREAS002.DAT:8:7,AREAS002.DAT,8,7,"""This is a peaceful city...[01]Still, even here there are[01]rumors of war.""",71,
AREAS002.DAT:8:8,AREAS002.DAT,8,8,"""Wyndian women sure are[01]pretty, ain't they?[02]My wife was pretty in her[01]day, too.""",81,
AREAS002.DAT:8:10,AREAS002.DAT,8,10,"""In order to prevent the[01]young master from growing[01]any fatter,[02]I hid all the silverware![01]Now he can't eat anything[01]at all!""",124,
AREAS002.DAT:8:11,AREAS002.DAT,8,11,"[0A][01]""squeak""",11,
AREAS002.DAT:8:12,AREAS002.DAT,8,12,"""Yawn...[01]I want to eat--now!""",30,
AREAS002.DAT:8:13,AREAS002.DAT,8,13,"""I understand how you must[01]feel, master...Please be[01]patient just a little more.[02]I'm certain we shall find[01]the silverware soon!""",128,
AREAS002.DAT:8:14,AREAS002.DAT,8,14,"""We've lost everything...[02]Our [09][17][01], [09]O[03]s,[01][09]E[01]s, [09]6[03]...[01]even our [09]M",66,
AREAS002.DAT:8:15,AREAS002.DAT,8,15,"It's a plate with noodles[01]on it. To eat them, you[01]need [09][17][01].",60,
AREAS002.DAT:8:16,AREAS002.DAT,8,16,"It's a plate of cold cuts.[01]To eat them, you need a[01][09]6[03].",56,
AREAS002.DAT:8:17,AREAS002.DAT,8,17,"It's a plate of spaghetti.[01]To eat it, you need a[01][09]E[01].",54,
AREAS002.DAT:8:18,AREAS002.DAT,8,18,"It's a plate with pudding.[01]To eat it, you need a[01][09]O[03].",54,
AREAS002.DAT:8:19,AREAS002.DAT,8,19,"It's a cream soda. To drink[01]it, you need a [09]M",46,
AREAS002.DAT:8:20,AREAS002.DAT,8,20,"""I taught my boy to have[01]proper manners.[02]He won't touch his food[01]with his hands--ever!""",88,
AREAS002.DAT:8:21,AREAS002.DAT,8,21,"""I heard that Princess[01][04][01]'s come back.[02]The kings must be relieved[01]now that she's home again!""",94,
AREAS002.DAT:8:22,AREAS002.DAT,8,22,"""I'd be happy if my sister[01]came back too!""",43,
AREAS002.DAT:8:23,AREAS002.DAT,8,23,"""What are you talking[01]about, you silly boy?[02]I haven't gone anywhere!""",70,
AREAS002.DAT:8:24,AREAS002.DAT,8,24,"""I've seen some Ludian[01]troops moving around here[01]lately...[02]I guess those rumors[01]were true...""",94,
AREAS002.DAT:8:25,AREAS002.DAT,8,25,"""Maybe the rumors weren't[01]true after all...""",45,
AREAS002.DAT:8:26,AREAS002.DAT,8,26,"""They say Princess [04][01][01]has gone out looking for[01]her sister again...[02]I do hope they find her[01]this time!""",103,
AREAS002.DAT:8:27,AREAS002.DAT,8,27,"""I'm going to go look for[01]my sister again too!""",48,
AREAS002.DAT:8:28,AREAS002.DAT,8,28,"""How many times do I have[01]to tell you? I'm not going[01]anywhere!""",64,
AREAS002.DAT:8:29,AREAS002.DAT,8,29,"""And after I went to all[01]that trouble to hide the[01]silverware, too!""",68,
AREAS002.DAT:8:30,AREAS002.DAT,8,30,"""Wait...What you're[01]carrying there...Is that a[02][16] ",50,
AREAS002.DAT:8:33,AREAS002.DAT,8,33,"""I see...[02]Well, should you find any[01]more pieces of silverware,[01]please bring them here.""",88,
AREAS002.DAT:8:34,AREAS002.DAT,8,34,"""I see...[02]Well, should you find any[01]more pieces of silverware,[01]please bring them here.""",88,
AREAS002.DAT:8:35,AREAS002.DAT,8,35,"""I see...[02]Well, should you find any[01]more pieces of silverware,[01]please bring them here.""",88,
