term,category,target_translation,handling_rule,spoiler_level,aliases,notes,updated_date
Georg Weissmann,Personagem,,manter_original,low,,"Sacerdote herege, mastermind da Ouroboros. Papel real quarentenado — ver spoiler_ledger.json (weissmann_gospel_plan). SRC-007.",2026-08-23
Aureole,Conceito,,manter_original,low,,"Artefato ancestral buscado pela Ouroboros. Natureza/localizacao completa quarentenada — ver spoiler_ledger.json. SRC-007.",2026-08-23
Return to title,UI,Voltar ao título,traduzir,none,,"Opção de menu (game over / pausa). scena/system.dat.",2026-08-23
Return to Game,UI,Voltar ao jogo,traduzir,none,,"Opção de menu de pausa. scena/system.dat.",2026-08-23
Go to the next chapter,UI,Ir para o próximo capítulo,traduzir,none,,"Prompt de transição de capítulo. scena/system.dat.",2026-08-23
Battle preparations,UI,Preparativos de batalha,traduzir,none,,"Rótulo de menu pré-batalha. scena/system.dat.",2026-08-23
Quartz menu,UI,menu de Quartz,traduzir,none,,"'Quartz' mantido original (ver termo Quartz). scena/system.dat.",2026-08-23
Orbment tab,UI,aba de Orbment,traduzir,none,,"'Orbment' mantido original (ver termo Orbment). scena/system.dat.",2026-08-23
Books tab,UI,aba de Livros,traduzir,none,,"INFERIDO — só aparece via referência contextual (""has been added to the Books tab!""), rótulo literal do menu ainda não confirmado em jogo. scena/system.dat.",2026-08-23
Bracer Notebook,UI,Caderneta de Bracer,traduzir,none,,"'Bracer' mantido original (ver Bracer Guild). scena/system.dat.",2026-08-23
Quartz,Mecânica,,manter_original,none,,"CONFIRMADO pelo usuário em 2026-08-23: termos de mecânica de jogo mantidos em inglês (mesma convenção de 'Bracer'). Cristal equipável no Orbment que concede Arts/atributos elementais.",2026-08-23
Orbment,Mecânica,,manter_original,none,,"CONFIRMADO 2026-08-23 (ver termo Quartz). Dispositivo mágico equipável dos personagens.",2026-08-23
Sepith,Mecânica,,manter_original,none,,"CONFIRMADO 2026-08-23 (ver termo Quartz). Material usado para sintetizar Quartz.",2026-08-23
Mira,Mecânica,,manter_original,none,,"CONFIRMADO 2026-08-23 (ver termo Quartz). Moeda do jogo — atenção: coincide com a palavra 'mira' em PT-BR (verbo mirar); checar ambiguidade caso a caso na tradução de frases.",2026-08-23
Art,Mecânica,,manter_original,none,Arts,"CONFIRMADO 2026-08-23 (ver termo Quartz). Magia/técnica conjurada via Orbment (ex.: ""attack art"", ""healing art""). RESOLVIDO 2026-08-23: catálogo completo (72 Arts + 117 Crafts/S-Crafts + 40 habilidades reativas) achado em pac/steam/table_en.pac -> table_en/t_skill.tbl, mesmo contêiner FPAC já suportado por fpac_unpack.py, texto ASCII/UTF-8 legível sem VM/bytecode. Ver table_schema.md RETOMADA #4. Cadastro individual concluído no mesmo dia: 226 linhas novas em glossary.csv (handling_rule manter_original, category Mecânica).",2026-08-23
HP,Mecânica,,manter_original,none,,"Abreviação de status (Hit Points), universalmente mantida em localizações PT-BR de RPG.",2026-08-23
EP,Mecânica,,manter_original,none,,"Abreviação de status (Energy Points, usado para conjurar Arts).",2026-08-23
CP,Mecânica,,manter_original,none,,"Abreviação de status (Craft/Combo Points, usado para Crafts em batalha).",2026-08-23
BP,Mecânica,,manter_original,none,,"Abreviação vista em 'BP increased by...' — significado exato não confirmado no corpus da demo; revisar se aparecer em contexto mais claro.",2026-08-23
Aina Cswy Monster,Missão,Monstro de Aina Cswy,traduzir,none,,"Título de missão de caça a monstro (bounty), local mantido em ingles (ver categoria Local). Tradução preliminar, sem ver o texto completo da missão ainda. scena/dialogs.csv.",2026-08-23
Amberl Tower Monster,Missão,Monstro de Amberl Tower,traduzir,none,,"Título de missão de caça a monstro (bounty), local mantido em ingles (ver categoria Local). Tradução preliminar, sem ver o texto completo da missão ainda. scena/dialogs.csv.",2026-08-23
Ansel Path Monster,Missão,Monstro de Ansel Path,traduzir,none,,"Título de missão de caça a monstro (bounty), local mantido em ingles (ver categoria Local). Tradução preliminar, sem ver o texto completo da missão ainda. scena/dialogs.csv.",2026-08-23
Elize Hwy Monster,Missão,Monstro de Elize Hwy,traduzir,none,,"Título de missão de caça a monstro (bounty), local mantido em ingles (ver categoria Local). Tradução preliminar, sem ver o texto completo da missão ainda. scena/dialogs.csv.",2026-08-23
Erbe Scenic Route Monster,Missão,Monstro de Erbe Scenic Route,traduzir,none,,"Título de missão de caça a monstro (bounty), local mantido em ingles (ver categoria Local). Tradução preliminar, sem ver o texto completo da missão ainda. scena/dialogs.csv.",2026-08-23
Esmelas Tower Monster,Missão,Monstro de Esmelas Tower,traduzir,none,,"Título de missão de caça a monstro (bounty), local mantido em ingles (ver categoria Local). Tradução preliminar, sem ver o texto completo da missão ainda. scena/dialogs.csv.",2026-08-23
Kaldia Tunnel Monster,Missão,Monstro de Kaldia Tunnel,traduzir,none,,"Título de missão de caça a monstro (bounty), local mantido em ingles (ver categoria Local). Tradução preliminar, sem ver o texto completo da missão ainda. scena/dialogs.csv.",2026-08-23
Kirsche Avenue Monster,Missão,Monstro de Kirsche Avenue,traduzir,none,,"Título de missão de caça a monstro (bounty), local mantido em ingles (ver categoria Local). Tradução preliminar, sem ver o texto completo da missão ainda. scena/dialogs.csv.",2026-08-23
Krone Pass Monster,Missão,Monstro de Krone Pass,traduzir,none,,"Título de missão de caça a monstro (bounty), local mantido em ingles (ver categoria Local). Tradução preliminar, sem ver o texto completo da missão ainda. scena/dialogs.csv.",2026-08-23
Manoria Byroad Monster,Missão,Monstro de Manoria Byroad,traduzir,none,,"Título de missão de caça a monstro (bounty), local mantido em ingles (ver categoria Local). Tradução preliminar, sem ver o texto completo da missão ainda. scena/dialogs.csv.",2026-08-23
Milch Main Road Monster,Missão,Monstro de Milch Main Road,traduzir,none,,"Título de missão de caça a monstro (bounty), local mantido em ingles (ver categoria Local). Tradução preliminar, sem ver o texto completo da missão ainda. scena/dialogs.csv.",2026-08-23
Milch Monster,Missão,Monstro de Milch,traduzir,none,,"Título de missão de caça a monstro (bounty), local mantido em ingles (ver categoria Local). Tradução preliminar, sem ver o texto completo da missão ainda. scena/dialogs.csv.",2026-08-23
Nebel Valley Monster,Missão,Monstro de Nebel Valley,traduzir,none,,"Título de missão de caça a monstro (bounty), local mantido em ingles (ver categoria Local). Tradução preliminar, sem ver o texto completo da missão ainda. scena/dialogs.csv.",2026-08-23
Ravennue Trail Monster,Missão,Monstro de Ravennue Trail,traduzir,none,,"Título de missão de caça a monstro (bounty), local mantido em ingles (ver categoria Local). Tradução preliminar, sem ver o texto completo da missão ainda. scena/dialogs.csv.",2026-08-23
Ritter Rdwy Monster,Missão,Monstro de Ritter Rdwy,traduzir,none,,"Título de missão de caça a monstro (bounty), local mantido em ingles (ver categoria Local). Tradução preliminar, sem ver o texto completo da missão ainda. scena/dialogs.csv.",2026-08-23
Sapphirl Tower Monster,Missão,Monstro de Sapphirl Tower,traduzir,none,,"Título de missão de caça a monstro (bounty), local mantido em ingles (ver categoria Local). Tradução preliminar, sem ver o texto completo da missão ainda. scena/dialogs.csv.",2026-08-23
Seaside Way Monster,Missão,Monstro de Seaside Way,traduzir,none,,"Título de missão de caça a monstro (bounty), local mantido em ingles (ver categoria Local). Tradução preliminar, sem ver o texto completo da missão ainda. scena/dialogs.csv.",2026-08-23
Sewer Monster,Missão,Monstro do Esgoto,traduzir,none,,"Título de missão de caça a monstro (bounty), local mantido em ingles (ver categoria Local). Tradução preliminar, sem ver o texto completo da missão ainda. scena/dialogs.csv.",2026-08-23
Sewer Monster 2,Missão,Monstro do Esgoto 2,traduzir,none,,"Título de missão de caça a monstro (bounty), local mantido em ingles (ver categoria Local). Tradução preliminar, sem ver o texto completo da missão ainda. scena/dialogs.csv.",2026-08-23
Soldat Army Rd Monster,Missão,Monstro de Soldat Army Rd,traduzir,none,,"Título de missão de caça a monstro (bounty), local mantido em ingles (ver categoria Local). Tradução preliminar, sem ver o texto completo da missão ainda. scena/dialogs.csv.",2026-08-23
Tratt Plains Monster,Missão,Monstro de Tratt Plains,traduzir,none,,"Título de missão de caça a monstro (bounty), local mantido em ingles (ver categoria Local). Tradução preliminar, sem ver o texto completo da missão ainda. scena/dialogs.csv.",2026-08-23
Tratt Plains Monster 2,Missão,Monstro de Tratt Plains 2,traduzir,none,,"Título de missão de caça a monstro (bounty), local mantido em ingles (ver categoria Local). Tradução preliminar, sem ver o texto completo da missão ainda. scena/dialogs.csv.",2026-08-23
Vista Forest Rd Monster,Missão,Monstro de Vista Forest Rd,traduzir,none,,"Título de missão de caça a monstro (bounty), local mantido em ingles (ver categoria Local). Tradução preliminar, sem ver o texto completo da missão ainda. scena/dialogs.csv.",2026-08-23
Academy Attack,Missão,Assalto à Academia,traduzir,none,,Título de missão com jogo de palavras no original; aliteração A/A preservada. TRADUÇÃO PRELIMINAR só do título — revisar ao traduzir o conteúdo completo da missão. scena/dialogs.csv.,2026-08-23
Ambassador's Assignment,Missão,Tarefa do Embaixador,traduzir,none,,Título de missão com jogo de palavras no original; aliteração original perdida. TRADUÇÃO PRELIMINAR só do título — revisar ao traduzir o conteúdo completo da missão. scena/dialogs.csv.,2026-08-23
Betrothal Band Bandit,Missão,O Ladrão da Aliança,traduzir,none,,Título de missão com jogo de palavras no original; aliteração B/B/B perdida; 'band' = aliança de noivado. TRADUÇÃO PRELIMINAR só do título — revisar ao traduzir o conteúdo completo da missão. scena/dialogs.csv.,2026-08-23
Businesswoman's Bodyguard,Missão,Guarda-costas da Empresária,traduzir,none,,Título de missão com jogo de palavras no original; aliteração original perdida. TRADUÇÃO PRELIMINAR só do título — revisar ao traduzir o conteúdo completo da missão. scena/dialogs.csv.,2026-08-23
Commission Caper,Missão,Confusão da Comissão,traduzir,none,,Título de missão com jogo de palavras no original; aliteração C/C preservada. TRADUÇÃO PRELIMINAR só do título — revisar ao traduzir o conteúdo completo da missão. scena/dialogs.csv.,2026-08-23
Dabbling with Diaset,Missão,Deleite com Diaset,traduzir,none,,"Título de missão com jogo de palavras no original; aliteração D/D preservada; 'Diaset' termo do universo, manter_original. TRADUÇÃO PRELIMINAR só do título — revisar ao traduzir o conteúdo completo da missão. scena/dialogs.csv.",2026-08-23
Damsel Disappearance,Missão,Desaparecimento da Donzela,traduzir,none,,Título de missão com jogo de palavras no original; aliteração D/D preservada. TRADUÇÃO PRELIMINAR só do título — revisar ao traduzir o conteúdo completo da missão. scena/dialogs.csv.,2026-08-23
Delicacy Delivery,Missão,Distribuição de Delícias,traduzir,none,,Título de missão com jogo de palavras no original; aliteração D/D preservada. TRADUÇÃO PRELIMINAR só do título — revisar ao traduzir o conteúdo completo da missão. scena/dialogs.csv.,2026-08-23
Distant Days,Missão,Dias Distantes,traduzir,none,,Título de missão com jogo de palavras no original; aliteração D/D preservada. TRADUÇÃO PRELIMINAR só do título — revisar ao traduzir o conteúdo completo da missão. scena/dialogs.csv.,2026-08-23
Drawbridge Defect,Missão,Defeito na Ponte Levadiça,traduzir,none,,Título de missão com jogo de palavras no original; aliteração original perdida. TRADUÇÃO PRELIMINAR só do título — revisar ao traduzir o conteúdo completo da missão. scena/dialogs.csv.,2026-08-23
Drill Duty,Missão,Treino Obrigatório,traduzir,none,,Título de missão com jogo de palavras no original; aliteração original perdida. TRADUÇÃO PRELIMINAR só do título — revisar ao traduzir o conteúdo completo da missão. scena/dialogs.csv.,2026-08-23
Election Office Outrage,Missão,Escândalo no Escritório Eleitoral,traduzir,none,,Título de missão com jogo de palavras no original; aliteração E/E preservada. TRADUÇÃO PRELIMINAR só do título — revisar ao traduzir o conteúdo completo da missão. scena/dialogs.csv.,2026-08-23
Exhibit Enigma,Missão,Enigma da Exibição,traduzir,none,,Título de missão com jogo de palavras no original; aliteração E/E preservada. TRADUÇÃO PRELIMINAR só do título — revisar ao traduzir o conteúdo completo da missão. scena/dialogs.csv.,2026-08-23
Find That Feline!,Missão,Encontre Aquele Felino!,traduzir,none,,Título de missão com jogo de palavras no original; aliteração F parcialmente preservada. TRADUÇÃO PRELIMINAR só do título — revisar ao traduzir o conteúdo completo da missão. scena/dialogs.csv.,2026-08-23
Firearm Field Test,Missão,Teste de Campo da Arma de Fogo,traduzir,none,,Título de missão com jogo de palavras no original; aliteração original perdida. TRADUÇÃO PRELIMINAR só do título — revisar ao traduzir o conteúdo completo da missão. scena/dialogs.csv.,2026-08-23
Fishing Spot Scout,Missão,Sondando o Ponto de Pesca,traduzir,none,,Título de missão com jogo de palavras no original; aliteração original perdida. TRADUÇÃO PRELIMINAR só do título — revisar ao traduzir o conteúdo completo da missão. scena/dialogs.csv.,2026-08-23
Guest Gone Missing,Missão,Hóspede Desaparecido,traduzir,none,,Título de missão com jogo de palavras no original; aliteração original perdida. TRADUÇÃO PRELIMINAR só do título — revisar ao traduzir o conteúdo completo da missão. scena/dialogs.csv.,2026-08-23
Hot Springs Salvation,Missão,Salvação das Águas Termais,traduzir,none,,Título de missão com jogo de palavras no original; sem aliteração no original tambem. TRADUÇÃO PRELIMINAR só do título — revisar ao traduzir o conteúdo completo da missão. scena/dialogs.csv.,2026-08-23
Ingredient Inquiry,Missão,Investigação dos Ingredientes,traduzir,none,,Título de missão com jogo de palavras no original; aliteração I/I preservada. TRADUÇÃO PRELIMINAR só do título — revisar ao traduzir o conteúdo completo da missão. scena/dialogs.csv.,2026-08-23
Lighthouse Learning,Missão,Lições do Farol,traduzir,none,,Título de missão com jogo de palavras no original; aliteração L parcialmente preservada. TRADUÇÃO PRELIMINAR só do título — revisar ao traduzir o conteúdo completo da missão. scena/dialogs.csv.,2026-08-23
Lugran's Lifeline,Missão,A Salvação de Lugran,traduzir,none,,"Título de missão com jogo de palavras no original; aliteração original perdida; 'Lugran' topônimo, manter_original. TRADUÇÃO PRELIMINAR só do título — revisar ao traduzir o conteúdo completo da missão. scena/dialogs.csv.",2026-08-23
Mine Mop Up,Missão,Missão de Limpeza na Mina,traduzir,none,,Título de missão com jogo de palavras no original; aliteração M parcialmente preservada. TRADUÇÃO PRELIMINAR só do título — revisar ao traduzir o conteúdo completo da missão. scena/dialogs.csv.,2026-08-23
Miners' Mayday,Missão,S.O.S. dos Mineiros,traduzir,none,,Título de missão com jogo de palavras no original; aliteração trocada por sigla de socorro universalmente reconhecida. TRADUÇÃO PRELIMINAR só do título — revisar ao traduzir o conteúdo completo da missão. scena/dialogs.csv.,2026-08-23
Piscine Pilferer,Missão,O Pilantra dos Peixes,traduzir,none,,Título de missão com jogo de palavras no original; aliteração P/P preservada. TRADUÇÃO PRELIMINAR só do título — revisar ao traduzir o conteúdo completo da missão. scena/dialogs.csv.,2026-08-23
Probe for Parts,Missão,Procura por Peças,traduzir,none,,Título de missão com jogo de palavras no original; aliteração P/P preservada. TRADUÇÃO PRELIMINAR só do título — revisar ao traduzir o conteúdo completo da missão. scena/dialogs.csv.,2026-08-23
Recipe Reminiscence,Missão,Relembrando a Receita,traduzir,none,,Título de missão com jogo de palavras no original; aliteração R/R preservada. TRADUÇÃO PRELIMINAR só do título — revisar ao traduzir o conteúdo completo da missão. scena/dialogs.csv.,2026-08-23
Sapphirl Snapshot,Missão,Retrato de Sapphirl,traduzir,none,,"Título de missão com jogo de palavras no original; aliteração original perdida; 'Sapphirl' topônimo, manter_original. TRADUÇÃO PRELIMINAR só do título — revisar ao traduzir o conteúdo completo da missão. scena/dialogs.csv.",2026-08-23
Stolen Sign,Missão,Placa Roubada,traduzir,none,,Título de missão com jogo de palavras no original; aliteração original perdida. TRADUÇÃO PRELIMINAR só do título — revisar ao traduzir o conteúdo completo da missão. scena/dialogs.csv.,2026-08-23
Sunday Scholar,Missão,O Sábio de Domingo,traduzir,none,,Título de missão com jogo de palavras no original; aliteração S parcialmente preservada. TRADUÇÃO PRELIMINAR só do título — revisar ao traduzir o conteúdo completo da missão. scena/dialogs.csv.,2026-08-23
Vanquish the Voyeurs,Missão,Vença os Voyeurs,traduzir,none,,Título de missão com jogo de palavras no original; aliteração V/V preservada; 'Voyeurs' já e emprestimo do frances/ingles usado em PT. TRADUÇÃO PRELIMINAR só do título — revisar ao traduzir o conteúdo completo da missão. scena/dialogs.csv.,2026-08-23
Winners Wanted,Missão,Procuram-se Vencedores,traduzir,none,,Título de missão com jogo de palavras no original; aliteração original perdida. TRADUÇÃO PRELIMINAR só do título — revisar ao traduzir o conteúdo completo da missão. scena/dialogs.csv.,2026-08-23
Aqua Bleed,Mecânica,,manter_original,none,,"Nome de Art (técnica/magia) confirmado no corpus via tag <I##><C#>Nome</C>. attack art (Julia). Ver termo Art. Catálogo completo de Arts/Crafts NÃO extraível do dialogs.csv atual — nomes de habilidades provavelmente ficam em outra tabela binária ainda não mapeada pelo conector (pendencia de RE, nao de glossario). scena/system.dat, scena/mp6010_01.dat.",2026-08-23
Air Strike,Mecânica,,manter_original,none,,"Nome de Art (técnica/magia) confirmado no corpus via tag <I##><C#>Nome</C>. attack art (Kloe). Ver termo Art. Catálogo completo de Arts/Crafts NÃO extraível do dialogs.csv atual — nomes de habilidades provavelmente ficam em outra tabela binária ainda não mapeada pelo conector (pendencia de RE, nao de glossario). scena/system.dat, scena/mp6010_01.dat.",2026-08-23
Tear,Mecânica,,manter_original,none,,"Nome de Art (técnica/magia) confirmado no corpus via tag <I##><C#>Nome</C>. healing art. Ver termo Art. Catálogo completo de Arts/Crafts NÃO extraível do dialogs.csv atual — nomes de habilidades provavelmente ficam em outra tabela binária ainda não mapeada pelo conector (pendencia de RE, nao de glossario). scena/system.dat, scena/mp6010_01.dat.",2026-08-23
Stone Hammer,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Earth. Descricao original traduzida para referencia: ""Esmaga o inimigo derrubando uma grande pedra sobre ele."" Ver termo Art.",2026-08-23
Earth Lance,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Earth. Descricao original traduzida para referencia: ""Faz laminas de rocha mortais brotarem do chao."" Ver termo Art.",2026-08-23
Petrify Breath,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Earth. Descricao original traduzida para referencia: ""Libera um miasma nocivo."" Ver termo Art.",2026-08-23
Stone Impact,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Earth. Descricao original traduzida para referencia: ""Esmaga o inimigo derrubando um pedregulho gigante sobre ele."" Ver termo Art.",2026-08-23
Titanic Roar,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Earth. Descricao original traduzida para referencia: ""Arte devastadora que causa tremores numa area limitada."" Ver termo Art.",2026-08-23
Earth Guard,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Earth. Descricao original traduzida para referencia: ""Cria um escudo de terra que anula uma quantidade fixa de dano."" Ver termo Art.",2026-08-23
Earth Wall,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Earth. Descricao original traduzida para referencia: ""Forma uma muralha de terra que bloqueia completamente um ataque."" Ver termo Art.",2026-08-23
Crest,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Earth. Descricao original traduzida para referencia: ""Concede a protecao da terra e restaura HP gradualmente."" Ver termo Art.",2026-08-23
Petrify Cloud,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Earth. Descricao original traduzida para referencia: ""Libera um miasma nocivo em maior escala."" Ver termo Art.",2026-08-23
Atlas Hammer,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Earth. Descricao original traduzida para referencia: ""Reune rochas proximas numa massa enorme e a arremessa contra o chao."" Ver termo Art.",2026-08-23
Geo Catastrophe,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Earth. Descricao original traduzida para referencia: ""Usa o magma para provocar tremores localizados."" Ver termo Art.",2026-08-23
La Crest,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Earth. Descricao original traduzida para referencia: ""Concede aos aliados proximos a protecao e a forca vital da terra."" Ver termo Art.",2026-08-23
Gaia Shield,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Earth. Descricao original traduzida para referencia: ""Cria um escudo de terra que reflete um ataque fisico."" Ver termo Art.",2026-08-23
Blue Impact,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Water. Descricao original traduzida para referencia: ""Corta o inimigo com uma explosao de agua pressurizada."" Ver termo Art.",2026-08-23
Diamond Dust,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Water. Descricao original traduzida para referencia: ""Congela o inimigo com ventos gelidos."" Ver termo Art.",2026-08-23
Teara,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Water. Descricao original traduzida para referencia: ""Cura moderadamente o HP de um aliado com agua restauradora."" Ver termo Art.",2026-08-23
Tearal,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Water. Descricao original traduzida para referencia: ""Cura muito o HP de um aliado com agua restauradora."" Ver termo Art.",2026-08-23
La Tear,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Water. Descricao original traduzida para referencia: ""Cura levemente o HP dos aliados na area com agua restauradora."" Ver termo Art.",2026-08-23
La Teara,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Water. Descricao original traduzida para referencia: ""Cura moderadamente o HP dos aliados na area com agua restauradora."" Ver termo Art.",2026-08-23
Curia,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Water. Descricao original traduzida para referencia: ""Remove debuffs de um aliado usando agua purificadora."" Ver termo Art.",2026-08-23
La Curia,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Water. Descricao original traduzida para referencia: ""Remove debuffs dos aliados na area usando agua purificadora."" Ver termo Art.",2026-08-23
Blue Ascension,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Water. Descricao original traduzida para referencia: ""Detona uma massa condensada de agua numa explosao enorme."" Ver termo Art.",2026-08-23
Cocytus,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Water. Descricao original traduzida para referencia: ""Invoca um imponente pilar de agua em forma de geiser."" Ver termo Art.",2026-08-23
La Tearal,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Water. Descricao original traduzida para referencia: ""Cura muito o HP dos aliados na area com agua restauradora."" Ver termo Art.",2026-08-23
Tear-All,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Water. Descricao original traduzida para referencia: ""Cura totalmente o HP de um aliado com agua restauradora."" Ver termo Art.",2026-08-23
